id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,clans
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.652,0.265,-0.02,3.912,0,0,0,1,1,0,529591,1.69607496276667,0.232074752677419,0.121817018645161,1.5350454753,0.186666666666667,0.181,0.215333333333333,0.237666666666667,2.54411244415,0.423195137235294,0.290486736769231,3.0700909506,0.333333333333333,0.451612903225806,0.580645161290323,0.5,0,0,0,0,38.8323119359982,37.4089152677166,34.7253976582302,32.8973896056832,2.88,2.31,2.13,1.61,0.88,0.86,1.02,0.81,1.67,1.53,1.28,0.95,2.38,1.94,1.85,1.41,17,19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.681,-0.244,-0.264,1.759,0,0,0,0,0,0,74733,0.0512536556666667,0,0,0.102882713333333,0.159666666666667,0.163666666666667,0.186,0.24,0.256268278333333,0,0,0.342942377777778,0.8,1,1,0.7,0,0,0,0,38.4763092760137,35.670834835854,33.7091095896806,32.2759158939022,1.23,1.61,1.73,1.42,1.23,1.19,1.03,0.84,1.11,1.26,1.1,0.91,1.23,1.5,1.55,1.27,14,20
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454,-0.233,0.202,4.991,0,0,0,1,0,0,96343,1.16210600066667,0,0.0308110741612903,0.756595978333333,0.189666666666667,0.18,0.205,0.294,2.90526500166667,0,0.136449042714286,1.89148994583333,0.6,1,0.774193548387097,0.6,0,0,0,0,38.8077699968802,36.9420466588204,34.0373653457201,32.1509259804491,1.75,1.51,1.65,1.34,0.83,0.82,0.98,0.83,1.58,1.57,1.37,1.06,1.52,1.34,1.48,1.21,17,21
22,3,3,1,3,1,0,1,0,0,0,0,0,0,0,-0.843,-0.562,-0.965,-0.478,0,0,0,0,0,0,226857,0.242484261866667,0.402622608774194,0.644322810967742,0.605714543666667,0.293333333333333,0.280666666666667,0.359666666666667,0.473333333333333,0.661320714181818,1.040108406,2.21933412666667,1.21142908733333,0.633333333333333,0.612903225806452,0.709677419354839,0.5,3,2,1,3,36.0780726333198,35.3029416685669,31.7071597180072,31.2612787803314,1.57,1.83,1.69,1.38,0.77,0.52,0.52,0.51,0.75,0.88,0.91,0.73,1.37,1.5,1.4,1.16,5,22
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.927,-0.367,0.046,0.874,0,0,0,0,0,0,117294,0.039201145,0,0.00410055351612903,0.0620175701,0.190666666666667,0.192,0.208333333333333,0.259,0.2940085875,0,0.0423723863333333,0.3100878505,0.866666666666667,1,0.903225806451613,0.8,0,0,0,0,40.7683435045285,39.1717309152489,36.8861490836245,36.1689642149391,0.68,1.2,1.53,1.5,0.88,0.87,1.01,1.03,1.33,1.28,1.11,0.88,0.73,1.12,1.4,1.38,6,23
24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.576,-0.301,-0.122,1.105,0,0,0,0,0,0,149078,0,0,0.00139857574193548,0.0532140476,0.171,0.172333333333333,0.182666666666667,0.219333333333333,0,0,0.021677924,0.1995526785,1,1,0.935483870967742,0.733333333333333,0,0,0,0,40.5208482400085,38.5388641116542,35.2976536111478,35.9995323913663,0.5,0.9,1.29,1.21,1.13,1.13,1.24,1.08,0.88,1.05,1.06,0.87,0.66,0.95,1.28,1.18,6,24
25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.454,-0.189,-1.936,-0.858,0,0,0,0,0,0,99965,0,0.576222844806452,0.631022946451613,0.3479760711,0.164,0.171,0.244666666666667,0.259333333333333,0,1.62390074445455,3.26028522333333,1.0439282133,1,0.645161290322581,0.806451612903226,0.666666666666667,0,0,0,0,36.3927273399305,34.8356055696098,31.656646417149,32.1026630675035,1.45,2.01,1.74,1.33,1.07,1.06,1.03,0.78,0.35,0.37,0.4,0.4,1.35,1.77,1.56,1.19,12,25
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-0.922,-0.172,2.527,0,0,0,0,0,0,56353,0.269081393,0.00342055241935484,0.000723667677419355,0.1149288714,0.149666666666667,0.147333333333333,0.155333333333333,0.163666666666667,0.620957060769231,0.106037125,0.011216849,0.246276153,0.566666666666667,0.967741935483871,0.935483870967742,0.533333333333333,0,0,0,0,43.1311883193638,42.4246216077122,40.1063834528417,40.208582159463,1.18,1.02,1.06,0.85,0.53,0.57,0.6,0.91,0.5,0.51,0.52,0.52,1.02,0.91,0.95,0.87,4,26
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.665,-0.319,0.31,4.387,0,0,0,1,1,0,67966,1.43783202803333,0.0202541957096774,0.0648170111290323,1.53455605033333,0.168666666666667,0.170666666666667,0.207333333333333,0.223333333333333,2.87566405606667,0.104646677833333,0.251165918125,4.18515286454546,0.5,0.806451612903226,0.741935483870968,0.633333333333333,0,0,0,0,40.9964350951491,38.9253944107048,35.7350834026237,33.7537325599351,2.74,2.03,1.86,1.45,0.89,0.87,1.06,1.05,1.75,1.65,1.35,0.94,2.28,1.74,1.66,1.35,16,27
28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1.438,-0.151,-0.282,4.056,0,0,0,1,0,0,114982,1.8509337432,0.0682407763548387,0.0387116272903226,1.7324667673,0.150666666666667,0.154666666666667,0.18,0.187333333333333,2.64419106171429,0.162728005153846,0.109096404181818,4.72490936536364,0.3,0.580645161290323,0.645161290322581,0.633333333333333,0,0,0,0,39.8791448726555,38.2503115764195,35.7229774369437,34.0086348502633,2.47,1.65,1.57,1.29,0.87,0.85,1.06,0.86,1.71,1.59,1.25,0.83,2.07,1.45,1.44,1.18,15,28
