id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492,-1.145,-0.584,-0.369,0,0,0,0,0,0,41060,0.602446403032258,0.786280795483871,0.1634468299,1.30868111580645,0.17,0.160666666666667,0.277,0.245666666666667,1.69780349945455,3.0468380825,0.9806809794,4.056911459,0.645161290322581,0.741935483870968,0.833333333333333,0.67741935483871,0,0,0,0,35.4576058673598,32.2136623413703,35.0216412935579,35.5028971428144,0.69,0.45,0.47,0.43,0.96,0.78,0.5,0.52,0.35,0.38,0.44,0.41,0.76,0.53,0.48,0.45,12,1
2,26,42,9,5,8,20,6,17,1,0,0,0,2,0,-1.109,-0.897,-1.072,-0.169,1,0,0,0,0,0,259365,0.163941363870968,0.695212191774193,0.4289298742,2.26833734729032,0.246,0.288666666666667,0.348666666666667,0.260666666666667,1.27054557,2.693947243125,1.2867896226,6.39258706963636,0.870967741935484,0.741935483870968,0.666666666666667,0.645161290322581,11,4,12,42,35.0424168581265,33.3919008398087,35.1686187127232,36.5732498353585,0.46,0.44,0.46,0.46,0.52,0.51,0.5,0.51,0.37,0.39,0.44,0.38,0.48,0.46,0.47,0.47,10,2
3,4,14,3,14,0,0,1,0,0,0,0,0,0,0,0.083,0.121,0.652,0.66,0,0,0,0,0,0,187453,0.557830310387097,0.893049629903226,1.25293515233333,3.95625562096774,0.291,0.433,0.473333333333333,0.404,1.44106163516667,1.62850226629412,2.50587030466667,6.1321962125,0.612903225806452,0.451612903225806,0.5,0.354838709677419,0,0,3,14,36.9098390906492,33.8699736066586,32.435431906711,32.124912793352,0.71,0.46,0.46,0.48,0.56,0.82,0.94,0.77,0.9,0.97,0.76,0.46,0.67,0.55,0.58,0.55,9,3
4,5,3,1,1,1,1,2,1,0,0,0,0,1,0,0.122,-0.374,0.287,1.253,0,0,0,0,0,0,192777,0.213891129354839,0.429422731709677,0.269516094433333,2.72734959154839,0.191666666666667,0.274,0.384666666666667,0.342,1.326125002,1.664013085375,1.15506897614286,7.0456531115,0.838709677419355,0.741935483870968,0.766666666666667,0.612903225806452,1,1,3,3,35.8055114856219,33.892425999299,32.9947768851369,32.4761205047667,0.65,0.44,0.45,0.49,0.55,0.76,0.86,0.66,0.91,0.97,0.78,0.48,0.62,0.52,0.55,0.53,7,4
5,1,4,0,0,0,0,1,4,0,0,0,0,0,0,-0.178,-0.908,0.239,0.176,0,0,0,0,0,0,61053,0.818691658967742,0.776662912774194,2.1176388001,5.19103123612903,0.561,0.661,0.626,0.485333333333333,2.81993793644444,2.18877729963636,3.52939800016667,7.66295087238095,0.709677419354839,0.645161290322581,0.4,0.32258064516129,4,1,1,4,30.5801578027943,28.0142246224973,28.7835974043253,29.3597402464728,0.44,0.42,0.41,0.43,0.56,0.81,0.9,0.72,1.08,0.89,0.66,0.39,0.47,0.52,0.53,0.5,9,5
6,9,23,2,11,2,3,5,9,0,0,0,0,0,0,0.423,-0.57,-0.37,-0.189,0,0,0,0,0,0,343074,0.533989306677419,0.661232147516129,0.327511742133333,2.17765306032258,0.284,0.378666666666667,0.514333333333333,0.433333333333333,1.83929650077778,1.57678435176923,0.893213842181818,5.62560373916667,0.709677419354839,0.580645161290323,0.633333333333333,0.612903225806452,1,1,7,23,32.5426982204226,31.4579118402427,30.9077087749001,31.0419428391788,0.48,0.46,0.47,0.46,1.01,0.96,0.78,0.54,1.15,0.97,0.75,0.47,0.61,0.58,0.55,0.48,5,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265,-1.61,-0.753,0.288,0,0,0,0,0,0,105293,0.855424578,0.149739765483871,0.0656854146666667,1.28800535696774,0.111666666666667,0.112,0.138,0.128666666666667,1.26276961514286,0.663133247142857,0.328427073333333,1.66367358608333,0.32258064516129,0.774193548387097,0.8,0.225806451612903,0,0,0,0,41.2145402230983,38.5095477603626,43.505170130037,42.4469002837668,0.43,0.43,0.61,0.58,1.1,1.1,0.98,0.82,0.43,0.46,0.48,0.46,0.6,0.6,0.7,0.64,1,7
8,2,10,1,3,0,0,1,7,0,0,0,0,0,0,-1.082,-1.18,-0.836,-0.532,1,0,0,0,0,0,230681,0.28281262916129,0.71897447483871,0.546316652833333,1.59362903648387,0.257,0.309666666666667,0.346,0.258666666666667,1.7534383008,3.71470145333333,2.048687448125,6.175312516375,0.838709677419355,0.806451612903226,0.733333333333333,0.741935483870968,0,0,2,10,33.4421405755971,31.660352157812,33.9009200086028,35.442448919335,0.43,0.42,0.43,0.4,0.54,0.53,0.5,0.5,0.38,0.42,0.46,0.42,0.46,0.44,0.45,0.42,12,8
9,49,43,7,5,20,20,15,16,2,2,1,0,4,0,-1.169,-0.838,-0.67,0.284,1,0,0,0,0,0,1793435,0.507767848387097,1.30213239354839,0.76388779,2.42799535483871,0.2515,0.299166666666667,0.347333333333333,0.259666666666667,3.935200825,5.76658631428571,4.58332674,18.816964,0.870967741935484,0.774193548387097,0.833333333333333,0.870967741935484,11,8,31,43,34.2422787168618,32.5261264988103,34.534769360663,36.0078493773468,0.445,0.43,0.445,0.43,0.53,0.52,0.5,0.505,0.375,0.405,0.45,0.4,0.47,0.45,0.46,0.445,3,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162,-0.115,-0.557,2.189,0,0,0,0,0,0,16824,0.0102230273548387,0,0.00195932586666667,1.65553163835484,0.124666666666667,0.133666666666667,0.142,0.131,0.0528189746666667,0,0.029389888,3.4214320526,0.806451612903226,1,0.933333333333333,0.516129032258065,0,0,0,0,38.828329550799,35.9077966895075,38.5269396041468,39.9472550073336,1.3,1.02,0.94,1.2,1,1.05,1.07,0.88,1.02,0.88,0.62,0.59,1.23,1.02,0.97,1.12,4,10
