id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,-0.71,0.57,-0.314,-0.124,0,0,0,0,0,0,44730,0.253163757666667,1.74286023854839,1.620722812,1.04892450793548,0.234,0.482666666666667,0.332333333333333,0.242666666666667,0.632909394166667,4.15605133807692,2.70120468666667,2.95605997690909,0.6,0.580645161290323,0.4,0.645161290322581,2,1,1,2,34.2079531393568,35.9752588797075,38.5004205395873,41.7030132850242,1.89,1.81,3.61,6.43,0.84,1.08,1.15,1.22,1.45,1.82,1.74,1.72,1.63,1.62,2.99,5.13,Hawiye
2,12,6,8,3,2,1,1,2,0,0,0,0,1,0,-1.123,0.711,-0.678,-0.607,1,0,0,0,0,0,282548,0.448665043933333,2.74977478967742,1.67487935766667,0.309820835064516,0.352333333333333,0.432333333333333,0.273333333333333,0.246,0.961425094142857,4.73572324888889,2.5123190365,1.37206369814286,0.533333333333333,0.419354838709677,0.333333333333333,0.774193548387097,5,9,4,6,34.5473545908184,35.5737427882546,40.6073251803073,41.9685977850492,2.2,1.99,2.76,3.87,0.66,0.99,1.22,1.29,1.2,1.33,1.34,1.35,1.81,1.74,2.38,3.23,Hawiye
3,11,5,5,5,3,0,2,0,0,0,0,0,1,0,-0.069,-0.578,2.079,-0.123,0,0,0,0,0,0,204208,1.11085695286667,1.31910563606452,7.96683876046667,2.20910480341935,0.427666666666667,0.645,0.499333333333333,0.312333333333333,1.58693850409524,1.94725117704762,8.85204306718519,3.80456938366667,0.3,0.32258064516129,0.1,0.419354838709677,4,7,2,5,34.4815109644414,33.7908793999622,36.7328267028447,41.9493239982121,2.1,1.89,2.83,4.35,0.56,0.65,1.01,1.37,1.48,1.76,1.76,1.73,1.71,1.58,2.38,3.61,Daarood
4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.489,-0.373,1.445,-0.042,0,0,0,0,0,0,210008,0.275962675933333,0.649344619612903,6.72687215783333,2.48925661377419,0.322666666666667,0.612,0.465666666666667,0.28,0.636836944461538,1.43783451485714,8.0722465894,5.14446366846667,0.566666666666667,0.548387096774194,0.166666666666667,0.516129032258065,0,0,0,0,35.6414230408517,35.1760964752355,35.6569462107044,41.2659163574822,1.76,1.74,2.93,4.83,0.81,1.15,1.28,1.47,1.46,1.8,1.53,1.34,1.52,1.6,2.52,3.99,Daarood
5,4,2,3,0,0,0,1,2,0,0,0,0,0,0,-0.478,0.109,1.602,-0.431,0,0,0,0,0,0,66510,1.36784498176667,3.92302209009677,7.25424155103333,1.46377657758064,0.706,0.721333333333333,0.618333333333333,0.452,2.15975523436842,5.79112784728571,7.77240166182143,2.52094855027778,0.366666666666667,0.32258064516129,0.0666666666666667,0.419354838709677,2,4,1,2,27.4295809319679,28.8506680712844,32.1806164372631,36.942691499621,2,1.92,2.5,3.23,1.31,1.19,1.26,1.31,1.8,1.74,1.83,1.8,1.83,1.74,2.19,2.75,Daarood
6,8,14,4,2,1,1,3,11,0,0,0,0,0,0,-0.382,0.362,0.925,-0.193,0,0,0,0,0,0,373739,0.390197405033333,2.07134896867742,5.81098355586667,1.98456606280645,0.442333333333333,0.711666666666667,0.524,0.305666666666667,0.7316201344375,3.37956936994737,7.57954376852174,5.12679566225,0.466666666666667,0.387096774193548,0.233333333333333,0.612903225806452,13,6,4,14,31.5723394603976,32.2161129444271,35.9849843388193,40.7214080636088,1.99,1.87,2.31,3.19,0.59,0.65,0.69,1.05,1.62,1.76,1.81,1.89,1.64,1.57,1.91,2.66,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053,-0.443,0.905,-0.411,0,0,0,0,0,0,114704,0.289710996133333,0.424980163774194,2.66303772893333,0.539622218064516,0.158,0.236,0.205,0.176333333333333,0.54320811775,0.774963828058823,3.9945565934,2.091036095,0.466666666666667,0.451612903225806,0.333333333333333,0.741935483870968,0,0,0,0,44.6467531536699,45.7147660686981,40.2361772608126,40.979530394699,3.87,3.62,5.12,6.43,0.87,1.15,1.18,1.24,2.32,2.37,2.23,2.17,3.12,3,4.13,5.13,Dir
8,8,2,6,2,0,0,2,0,0,0,0,0,0,0,-1.163,0.159,-0.768,-0.582,1,0,0,0,0,0,251300,0.454452780466667,1.88881409716129,1.29375318243333,0.440790954967742,0.379666666666667,0.510666666666667,0.296666666666667,0.261333333333333,1.13613195116667,3.44430805952941,2.28309385135294,1.95207422914286,0.6,0.451612903225806,0.433333333333333,0.774193548387097,2,7,2,2,31.7075368956743,33.6869105263158,38.9908272038148,39.1247939279534,2.4,2.29,3.52,5.11,1.14,1.14,1.15,1.22,1.55,1.56,1.43,1.39,2.08,2,2.93,4.13,Hawiye
9,44,28,18,12,13,11,9,5,1,0,1,0,2,0,-0.858,0.896,-1.001,-0.595,0,0,0,0,0,0,1953738,0.823784290233333,2.55509955903226,0.869712906666667,0.200815932387097,0.366,0.4715,0.285,0.253666666666666,2.05946072558333,6.60067386083333,3.72734102857143,2.075097968,0.6,0.612903225806452,0.766666666666667,0.903225806451613,19,22,21,28,33.1274457432463,34.6303266572852,39.7990761920611,40.5466958565013,2.3,2.14,3.14,4.49,0.9,1.065,1.185,1.255,1.375,1.445,1.385,1.37,1.945,1.87,2.655,3.68,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.911,1.583,0.117,0,0,0,0,0,0,18328,0.0345929697,0.940939322806452,1.29320780876667,0.285834256548387,0.170333333333333,0.187,0.173,0.168666666666667,0.129723636375,2.0835085005,3.8796234263,0.984540217,0.733333333333333,0.548387096774194,0.666666666666667,0.709677419354839,0,0,0,0,40.7547411695791,41.8689592255154,41.2565651137092,45.7707415808758,1.13,3.86,5.45,4.68,0.8,1.1,1.12,1.1,2.43,2.54,2.39,2.17,1.05,3.17,4.37,3.79,Daarood
