id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.948,-0.656,-0.332,-0.429,0,0,0,0,0,0,39925,0.227556897451613,0,0.00407834387096774,0.32944355783871,0.23,0.238333333333333,0.317666666666667,0.493333333333333,1.00775197442857,0,0.12642866,2.0425500586,0.774193548387097,1,0.967741935483871,0.838709677419355,0,0,0,0,40.4634583205859,36.291327586113,35.7030528363431,33.6167785135198,0.84,0.84,1.04,1.1,1.24,1.45,1.35,1.28,1.68,1.72,1.73,1.72,0.94,0.99,1.12,1.15,Hawiye
2,11,39,6,16,0,0,5,23,0,0,0,0,0,0,-0.792,-0.252,-0.28,-0.216,0,0,0,0,0,0,252201,0.0152523025806452,0.0379145103448276,0.000103199870967742,0.475908005387097,0.215333333333333,0.227666666666667,0.331,0.521333333333333,0.47282138,1.0995208,0.003199196,1.844143520875,0.967741935483871,0.96551724137931,0.967741935483871,0.741935483870968,0,1,4,39,43.2348700655425,39.159744447118,39.3098232740167,35.0131652028527,1.56,1.28,1.1,1.1,1.19,1.22,1.12,1.19,0.73,1.02,1.15,1.2,1.47,1.27,1.11,1.12,Hawiye
3,4,30,3,30,0,0,1,0,0,0,0,0,0,0,-0.913,-0.227,-0.372,0.273,0,0,0,0,0,0,182275,0.331340038387097,0.328750312517241,0.0135022065806452,1.51725973387097,0.272666666666667,0.292666666666667,0.44,0.563333333333333,1.14128235444444,1.36196558042857,0.0837136808,3.35964655357143,0.709677419354839,0.758620689655172,0.838709677419355,0.548387096774194,0,0,3,30,42.3943899318787,40.6667053239057,38.3641439468903,33.9526104686518,1.57,1.55,1.38,1.46,0.59,0.88,1.13,1.13,0.96,1.25,1.45,1.38,1.33,1.39,1.32,1.38,Daarood
4,5,3,0,0,1,0,3,3,0,0,0,0,1,0,-1.008,-0.342,-0.436,-0.362,1,0,0,0,0,0,187452,0.225027216129032,0.227152712137931,0.000354215129032258,0.733396615032258,0.22,0.230666666666667,0.331666666666667,0.452666666666667,0.69758437,1.3174857304,0.010980669,1.89460792216667,0.67741935483871,0.827586206896552,0.967741935483871,0.612903225806452,0,1,1,3,43.3403196571762,41.2182435912622,40.0381540092659,36.0350197779127,1.27,1.07,0.98,1.13,0.59,0.65,0.61,0.85,0.7,0.71,0.96,1.15,1.1,0.97,0.89,1.06,Daarood
5,6,16,1,8,3,8,2,0,0,0,0,0,0,0,-0.953,-0.433,-0.184,0.304,0,0,0,0,0,0,59367,0.391712833322581,0.137822895034483,0.0851592481935484,1.59361050064516,0.400333333333333,0.436666666666667,0.571333333333333,0.693333333333333,1.73472826185714,0.999215989,0.377133813428571,3.52870896571429,0.774193548387097,0.862068965517241,0.774193548387097,0.548387096774194,8,3,4,16,37.9060036754016,35.9886660707915,34.4169350614946,31.7806300535333,0.91,1.32,1.45,1.35,0.6,0.87,1.09,1.12,1.22,1.39,1.36,1.15,0.83,1.2,1.36,1.29,Daarood
6,8,7,2,0,1,1,4,5,0,0,0,0,1,1,-0.942,-0.446,-0.43,-0.655,0,0,0,0,0,0,333597,0.168223877193548,0.075440516137931,0,0.0350509224516129,0.263666666666667,0.264333333333333,0.348333333333333,0.593333333333333,0.401149245615385,1.093887484,0,0.2173157192,0.580645161290323,0.931034482758621,1,0.838709677419355,1,1,3,7,40.9455710210798,38.0312958122186,36.8098124740447,33.0725469409673,1.68,1.37,1.21,1.3,1.25,1.42,1.36,1.31,0.75,1.05,1.21,1.31,1.57,1.38,1.25,1.31,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.823,-0.54,0.314,-0.367,0,0,0,0,0,0,102384,0.0757071851612903,0.0645410504827586,0.19370464516129,0.155732266193548,0.115333333333333,0.134333333333333,0.144333333333333,0.148666666666667,0.39115379,0.207965607111111,1.501211,0.536411139111111,0.806451612903226,0.689655172413793,0.870967741935484,0.709677419354839,0,0,0,0,41.7075206106955,36.178623106496,35.1325847185266,36.9345063594502,0.51,0.6,0.62,0.61,1.02,0.83,0.57,0.57,0.51,0.54,0.51,0.49,0.64,0.66,0.61,0.6,Dir
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.834,-0.559,-0.31,0.249,0,0,0,0,0,0,224309,0.127282891612903,0.00580863206896552,0.00104317080645161,0.548881299354839,0.256666666666667,0.290666666666667,0.383,0.539333333333333,0.98644241,0.16845033,0.032338295,3.403064056,0.870967741935484,0.96551724137931,0.967741935483871,0.838709677419355,0,0,0,0,40.3488307760168,37.3785984738967,36.166628748993,32.7360567441979,0.96,1.4,1.52,1.42,1.17,1.4,1.3,1.05,1.56,1.48,1.35,1.24,1.01,1.4,1.46,1.33,Hawiye
9,33,26,11,3,8,14,12,9,1,0,0,0,1,0,-0.744,0.056,-0.288,0.398,0,0,0,0,0,0,1743895,0.0214779522580645,0.0546949172413793,0,0.477597112903226,0.236,0.259166666666667,0.357,0.530333333333333,0.33290826,1.5861526,0,14.8055105,0.935483870967742,0.96551724137931,1,0.967741935483871,0,0,12,26,41.7918504207797,38.2691714605074,37.7382260115048,33.8746109735253,1.26,1.34,1.31,1.26,1.18,1.31,1.21,1.12,1.145,1.25,1.25,1.22,1.24,1.335,1.285,1.225,Hawiye
10,3,10,2,10,0,0,0,0,0,0,0,0,1,0,-0.839,-0.303,-0.203,-0.551,0,0,0,0,0,0,16360,0,0,0,0.274365123096774,0.127333333333333,0.133666666666667,0.137333333333333,0.153666666666667,0,0,0,1.063164852,1,1,1,0.741935483870968,0,1,1,10,42.3420822416683,37.1138960587975,36.0014966650657,36.6913177089972,0.37,0.36,0.33,0.3,0.53,0.55,0.55,0.57,0.56,0.59,0.62,0.67,0.41,0.41,0.39,0.37,Daarood
