id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.253,-0.19,0.931,0.339,0,0,0,0,0,0,44730,0.00747634674193548,0.397730104580645,2.677342596,2.75739977122581,0.282463693870968,0.370835333225806,0.2392362798,0.167312085096774,0.077255583,1.36995924911111,3.346678245,3.287668958,0.903225806451613,0.709677419354839,0.2,0.161290322580645
2,22,30,14,19,3,1,4,10,0,0,0,0,1,0,0.134,-0.388,0.122,0.262,0,0,0,0,0,0,282548,0.00866788387096774,0.384711153870968,2.58550915946667,2.49916177106452,0.27679389083871,0.359904469032258,0.2433525198,0.195336675451613,0.1343522,1.32511619666667,3.37240325147826,3.52154613195454,0.935483870967742,0.709677419354839,0.233333333333333,0.290322580645161
3,4,7,3,3,0,0,1,4,0,0,0,0,0,0,1.515,0.593,2.903,1.571,0,0,0,1,1,0,204208,0.254003741806452,1.86353897903226,11.8681700504667,6.02386671387097,0.291807544870968,0.424945455806452,0.334529734233333,0.230660241290323,0.49213224975,3.610606771875,15.4802218049565,6.66928100464286,0.483870967741935,0.483870967741935,0.233333333333333,0.0967741935483871
4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.368,0.448,1.963,1.754,0,0,0,0,0,0,210008,0.0822937382903226,1.34297393774194,8.299969442,7.57218290158065,0.299716281935484,0.42385501516129,0.331306955666667,0.268243834741936,0.5102211774,2.973728005,12.449954163,8.09440241203448,0.838709677419355,0.548387096774194,0.333333333333333,0.0645161290322581
5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.629,0.954,2.778,0.948,0,0,0,1,1,1,66510,0.699905497903225,2.12210794645161,9.001053214,3.5572352096129,0.310144603935484,0.379495689032258,0.309191918933333,0.273428748548387,1.03319383023809,3.65474146333333,12.2741634736364,4.24131890376923,0.32258064516129,0.419354838709677,0.266666666666667,0.161290322580645
6,9,57,8,57,0,0,0,0,0,0,0,0,1,0,-0.406,1.524,2.437,1.963,0,0,0,0,0,0,373739,0.000260913290322581,0.570890724354839,4.76074477426667,10.5985700326452,0.376294722903226,0.448061802580645,0.359805446033333,0.243042970419355,0.008088312,1.17984083033333,6.20966709686956,10.9518557004,0.967741935483871,0.516129032258065,0.233333333333333,0.032258064516129
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.277,2.692,1.928,1.36,0,0,0,1,0,0,114704,0.299399605806452,0.663124078419355,0.933655344,3.03834355912903,0.175158430967742,0.159353989709677,0.1328309323,0.152767982774194,1.54689796333333,1.58129587930769,1.867310688,6.27924335553333,0.806451612903226,0.580645161290323,0.5,0.516129032258065
8,5,19,1,18,0,0,4,1,0,0,0,0,0,0,-0.262,-0.482,0.045,0.029,0,0,0,0,0,0,251300,0.00144730577419355,0.302607266451613,2.33642106726667,2.16839753387097,0.28190711983871,0.337319689032258,0.230255606566667,0.173598756741936,0.0224332395,1.34011789428571,3.04750573991304,3.73446241944444,0.935483870967742,0.774193548387097,0.233333333333333,0.419354838709677
9,47,27,26,10,11,9,5,8,1,0,1,0,3,0,-0.288,-0.469,-0.315,-0.305,0,0,0,0,0,0,1953738,0,0.217006496774194,1.73245647266667,0.887307903225806,0.195500229354839,0.189594872258065,0.137264167633333,0.166688768064516,0,2.24240046666667,4.72488128909091,9.16884833333333,1,0.903225806451613,0.633333333333333,0.903225806451613
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203,4.689,2.647,0.148,0,0,0,0,0,0,18328,0,4.20025841532258,0.964649222666667,0.768780744612903,0.166874134935484,0.16122765283871,0.120473759333333,0.119665423129032,0,10.8506675729167,1.52313035157895,2.64802256477778,1,0.612903225806452,0.366666666666667,0.709677419354839
11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-0.186,0.717,0.546,0.709,0,0,0,0,0,0,87695,0.000699780709677419,0.342895149354839,1.8353067339,1.36352105354839,0.326525534967742,0.348065983741936,0.268278119033333,0.288147912903226,0.010846601,1.062974963,3.4412001260625,3.84265024181818,0.935483870967742,0.67741935483871,0.466666666666667,0.645161290322581
