id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.07,-0.233,-0.492,-0.492,0,0,0,1,0,0,91015,1.04330394386667,0,0.000394914322580645,0.0008436247,0.185666666666667,0.185666666666667,0.229333333333333,0.302,2.60825985966667,0,0.012242344,0.025308741,0.6,1,0.967741935483871,0.966666666666667,1,0,0,0,0,38.8574957959298,36.5438894282423,32.3923393412955,33.578926059512,0.65,0.68,0.9,1.11,1.22,1.2,1.19,1.01,1.62,1.59,1.35,1,0.79,0.81,0.97,1.08
22,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0.322,-0.384,-0.795,-1.057,0,0,0,0,0,0,214311,0.3893252454,0.429985279193548,0.698344777903226,0.449257548066667,0.284333333333333,0.291333333333333,0.388333333333333,0.498333333333333,1.668536766,1.48106040611111,1.44324587433333,1.3477726442,0.766666666666667,0.709677419354839,0.516129032258065,0.666666666666667,2,1,1,1,1,37.5562908919692,33.9785204853599,31.8319189435502,31.5644597333263,0.93,0.72,0.48,0.5,0.56,0.54,0.53,0.51,0.77,0.88,0.89,0.72,0.84,0.67,0.49,0.5
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0.115,-0.025,-0.433,0,0,0,0,0,0,110807,0.225247187333333,0.0181591272580645,0.0223658856774194,0.0005484643,0.179333333333333,0.177666666666667,0.180666666666667,0.205,2.25247187333333,0.14073323625,0.115557076,0.0082269645,0.9,0.870967741935484,0.806451612903226,0.933333333333333,0,0,0,0,0,40.9373461715821,38.6650803088634,35.8101164233461,37.2123871976531,0.91,0.91,0.55,0.44,1.18,0.99,0.78,0.53,0.54,0.52,0.53,0.56,0.98,0.93,0.61,0.46
24,3,0,0,0,0,0,0,0,1,0,1,0,1,0,-0.555,1.202,0.097,-0.325,0,0,0,0,0,0,140834,0.00159803543333333,0.0334483421935484,0.00799943980645161,0.00226920823333333,0.168666666666667,0.164666666666667,0.158666666666667,0.193333333333333,0.047941063,0.259224652,0.082660878,0.0340381235,0.966666666666667,0.870967741935484,0.903225806451613,0.933333333333333,0,0,0,0,0,40.9644892261872,38.3463566161883,36.1050937655917,37.6875642552942,0.79,0.69,0.31,0.28,0.56,0.55,0.54,0.54,0.53,0.52,0.54,0.59,0.73,0.66,0.37,0.34
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.404,-1.041,-1.31,-1.153,0,0,0,0,0,0,94437,0.00211050486666667,0.391689065322581,0.853121423967742,0.334336890166667,0.161666666666667,0.181,0.203,0.284333333333333,0.063315146,1.349151225,2.40425128572727,1.253763338125,0.966666666666667,0.709677419354839,0.645161290322581,0.733333333333333,0,0,0,0,0,36.8077828529336,34.0054318266694,32.0122298779088,34.0610082983345,0.47,0.47,0.43,0.46,1.01,0.8,0.55,0.51,0.31,0.32,0.35,0.39,0.6,0.55,0.46,0.47
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-0.06,-0.35,-0.175,0,0,0,0,0,0,53237,0.2226932895,0.0590432873548387,0,0.0328148857666667,0.152333333333333,0.147333333333333,0.153333333333333,0.163,0.4175499178125,0.457585477,0,0.1968893146,0.466666666666667,0.870967741935484,1,0.833333333333333,1,0,0,0,0,41.9738674361045,41.6322074822653,38.4169309251218,41.796934073981,1.66,1.34,1.35,1.72,1.02,1.03,1.06,1.06,0.53,0.56,0.59,0.58,1.5,1.26,1.28,1.55
27,2,1,0,0,1,1,0,0,0,0,1,0,0,0,0.729,-0.348,-0.478,-0.939,0,0,0,0,0,0,64207,1.1015549988,0.0170374197419355,0.00143729883870968,0.0524906055333333,0.137333333333333,0.137333333333333,0.154333333333333,0.183,2.2031099976,0.1056320024,0.014852088,0.1574718166,0.5,0.838709677419355,0.903225806451613,0.666666666666667,3,0,0,1,1,40.611477017219,38.358083517608,34.2173648432563,37.5043997474365,0.54,0.57,0.77,0.93,1.23,1.04,1.04,0.99,0.76,0.93,0.76,0.51,0.71,0.69,0.83,0.94
28,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.086,0.124,-0.607,-0.779,0,0,0,1,1,1,108624,2.1988929989,0.107978635096774,0.00741447632258064,0.150177322833333,0.126,0.122666666666667,0.130333333333333,0.150333333333333,2.44321444322222,0.257487514461538,0.0574621915,0.2815824803125,0.1,0.580645161290323,0.870967741935484,0.466666666666667,3,0,0,0,0,39.7163173741629,37.5675621927982,33.4276069257325,37.5463908759446,0.55,0.54,0.77,0.97,1.2,1.02,1.03,0.94,0.49,0.49,0.5,0.49,0.71,0.66,0.84,0.97
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.897,0.384,-0.176,-0.325,0,0,0,0,0,0,64260,0.181587329133333,0.345432116451613,0.329087595612903,0.00104519753333333,0.19,0.191666666666667,0.193,0.275333333333333,1.0895239748,2.141679122,1.45738792342857,0.0104519753333333,0.833333333333333,0.838709677419355,0.774193548387097,0.9,2,0,0,0,0,39.0552209444413,37.7042771936879,34.4211033376962,34.7345837111745,0.39,0.37,0.34,0.34,0.99,0.88,0.68,0.45,0.47,0.47,0.48,0.47,0.54,0.49,0.42,0.37
30,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.599,0.081,0.66,-0.247,0,0,0,0,0,0,90866,0.142305945233333,0.0112733877096774,0.216827551580645,0.0097382031,0.177,0.174333333333333,0.185666666666667,0.232333333333333,1.42305945233333,0.0582458365,0.448110273266667,0.0486910155,0.9,0.806451612903226,0.516129032258065,0.8,0,0,0,0,0,40.1336710366733,36.7250800713062,34.7028802231555,36.9836412913728,1.03,0.92,0.77,0.59,1.19,0.99,0.79,0.53,0.52,0.49,0.51,0.53,1.07,0.93,0.77,0.57
