id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,3,1,0,0,3,1,0,0,0,0,0,0,0,0,-0.628,0.38,0.249,-1.29,0,0,0,0,0,0,43463,0.913994479548387,0.258549722833333,2.0259631936129,0.878638281,0.14525073583871,0.186110436233333,0.220345814483871,0.186046197433333,3.54172860825,0.705135607727273,2.85476631827273,2.39628622090909,0.741935483870968,0.633333333333333,0.290322580645161,0.633333333333333
2,26,41,15,23,3,3,7,14,0,0,1,1,0,0,-2.258,-1.166,-0.641,-1.087,1,1,1,0,0,0,274549,0.23080518816129,0.364426323166667,1.77263688303226,1.015185074,0.165710988451613,0.2061785158,0.202119051032258,0.1741230722,1.78874020825,1.21475441055556,2.497806517,4.35079317428571,0.870967741935484,0.7,0.290322580645161,0.766666666666667
3,5,15,3,0,1,5,1,10,0,0,0,0,0,0,-0.081,-1.279,1.2,-0.9,0,0,0,0,0,0,198427,0.856097874225807,0.5582988444,4.6399092156129,2.7045093104,0.148568936,0.167252461,0.262730508387097,0.188919738166667,1.76926894006667,1.19635466657143,5.53219944938462,5.070954957,0.516129032258065,0.533333333333333,0.161290322580645,0.466666666666667
4,3,13,0,0,0,0,3,13,0,0,0,0,0,0,0.689,-1.032,0.474,-1.026,0,0,0,0,0,0,204063,0.582173379677419,0.179400104166667,2.08438161767742,2.57539014493333,0.110557213483871,0.109798602466667,0.217238254645161,0.235644315666667,1.804737477,0.448500260416667,3.58976834155556,7.02379130436364,0.67741935483871,0.6,0.419354838709677,0.633333333333333
5,5,11,3,3,2,8,0,0,0,0,0,0,0,0,0.545,-0.908,0.165,-1.061,0,0,0,0,0,0,64627,1.68108102741935,0.8711878264,5.15339408545161,2.16094489033333,0.263469749354839,0.275634187,0.281718953870968,0.248995260333333,3.257094490625,1.45197971066667,5.50880057410345,3.08706412904762,0.483870967741935,0.4,0.0645161290322581,0.3
6,6,4,4,4,0,0,1,0,0,0,0,0,1,0,-0.604,-0.652,1.329,-1.332,0,0,0,0,0,0,363157,0.633644447741936,0.283578442533333,4.16482728064516,1.84762077413333,0.116669521774194,0.121120896333333,0.260606570645161,0.188819080866667,1.964297788,0.53170957975,5.61346285652174,4.263740248,0.67741935483871,0.466666666666667,0.258064516129032,0.566666666666667
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886,3.532,1.227,-1.221,0,0,0,0,0,0,111457,0.359137689774194,0.464933403366667,1.83631094032258,0.481676971866667,0.111335513806452,0.134508999233333,0.110752583129032,0.104109009733333,0.795233455928571,1.16233350841667,3.16253550833333,1.11156224276923,0.548387096774194,0.6,0.419354838709677,0.566666666666667
8,14,37,5,20,4,14,4,3,0,0,0,0,1,0,-2.359,-1.231,-0.502,-1.194,1,1,1,0,0,0,244185,0.308937544903226,0.302956474,1.67912326216129,0.746535904266667,0.190313073483871,0.24174039,0.244347535322581,0.1970895522,1.59617731533333,0.908869422,2.73962216457895,2.48845301422222,0.806451612903226,0.666666666666667,0.387096774193548,0.7
9,55,77,27,41,10,9,15,27,0,0,0,0,3,0,-2.23,-1.04,-0.822,-1.07,1,1,1,0,0,0,1898422,0.478090851612903,0.378082813333333,1.43786930322581,0.579526816666667,0.129646484548387,0.144726666333333,0.17253882483871,0.165547024666667,3.7052041,1.41781055,11.1434871,2.89763408333333,0.870967741935484,0.733333333333333,0.870967741935484,0.8
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,4.11,0.183,-1.723,0,0,0,0,0,0,17809,0,0.331040879766667,0.966372768193548,0.128433427,0.129222356483871,0.124246890133333,0.113147289193548,0.130547251166667,0,0.827602199416667,2.13982541528571,0.350272982727273,1,0.6,0.548387096774194,0.633333333333333
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.219,-1.079,0.072,-1.229,1,0,0,0,0,0,85212,0.93161616316129,0.838635348833333,3.10515418516129,0.56286607,0.208362100258064,0.230234526333333,0.18439671983871,0.2102311715,3.61001263225,2.5159060465,6.41731864933333,2.1107477625,0.741935483870968,0.666666666666667,0.516129032258065,0.733333333333333
12,6,2,2,1,3,1,0,0,0,0,0,0,1,0,-0.804,-0.074,1.107,-1.379,0,0,0,0,0,0,270590,0.174521113322581,0.0549731258,3.42115116564516,0.589949875333333,0.118847502419355,0.150623736233333,0.185126992774194,0.179521239,0.772879216142857,0.183243752666667,5.30278430675,2.52835660857143,0.774193548387097,0.7,0.354838709677419,0.766666666666667
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.747,-0.073,1.091,-0.915,0,0,0,1,1,0,95617,0.292594513290323,0.0423972907333333,2.3510829333871,2.26046741766667,0.112690140225806,0.121288951533333,0.205398023193548,0.176093654266667,1.51173831866667,0.15898984025,8.09817454833333,5.65116854416667,0.806451612903226,0.733333333333333,0.709677419354839,0.6
