id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,-0.292,-0.367,0.456,0,0,0,0,0,0,43463,0.583545948225807,0,0.00182829483870968,0.608037204451613,0.206333333333333,0.214333333333333,0.282666666666667,0.379666666666667,3.01498739916667,0,0.05667714,1.57076277816667,0.806451612903226,1,0.967741935483871,0.612903225806452,0,0,0,0,0,40.4397033429519,39.1870013547099,37.3620185888985,33.5510330194947,1.13,0.92,0.93,1.03,0.58,0.83,1.04,0.8,0.57,0.59,0.6,0.61,0.99,0.89,0.96,0.97
2,11,24,6,15,2,2,1,4,0,0,0,0,2,3,0.307,-0.479,-0.286,0.566,0,0,0,0,0,0,274549,0.210469268064516,0,0,0.772957427354839,0.222666666666667,0.232,0.304666666666667,0.417666666666667,2.17484910333333,0,0,1.59744534986667,0.903225806451613,1,1,0.516129032258065,0,7,5,8,24,42.6768855853401,40.8057793579169,40.4804514579612,37.0098939761299,1.16,0.95,0.96,0.7,0.51,0.51,0.52,0.53,0.53,0.55,0.55,0.65,1,0.84,0.85,0.66
3,6,13,4,13,0,0,2,0,0,0,0,0,0,0,-0.724,0.18,-0.393,2.494,0,0,0,0,0,0,198427,0.250429348129032,0.169361309928571,0.0127822986129032,5.35775046812903,0.277666666666667,0.274,0.359,0.497666666666667,0.646942482666667,0.316141111866667,0.0660418761666667,8.3045132256,0.612903225806452,0.464285714285714,0.806451612903226,0.354838709677419,1,12,2,3,13,41.9180250706723,40.2538278526864,39.6637310222155,35.1672671990578,0.92,0.88,0.7,0.57,0.52,0.55,0.6,0.65,0.56,0.59,0.63,0.72,0.82,0.8,0.68,0.59
4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.614,0.116,-0.445,2.749,0,0,0,0,0,0,204063,0.40417055883871,0.0654821033571429,0,5.00457932864516,0.254666666666667,0.252333333333333,0.325,0.479666666666667,3.132321831,0.22918736175,0,11.0815685134286,0.870967741935484,0.714285714285714,1,0.548387096774194,1,0,1,0,0,43.4017984819453,41.2946466617542,40.3407637037797,34.2466034261151,1.09,0.87,0.75,0.63,0.59,0.92,1.17,1.16,0.72,1.02,1.23,1.49,0.96,0.89,0.85,0.76
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.902,0.121,0.506,0.904,0,0,0,0,0,0,64627,0.156279587806452,0.0613245413571429,0.213508437290323,3.40578714567742,0.404,0.411,0.51,0.618666666666667,0.538296358,0.156098832545455,0.472768682571429,4.06074621215384,0.709677419354839,0.607142857142857,0.548387096774194,0.161290322580645,1,0,0,0,0,36.9715378664235,36.2909986130759,35.1963957384208,32.5426247402085,0.86,0.94,0.78,0.6,0.52,0.55,0.59,0.64,0.62,0.64,0.97,1.31,0.78,0.84,0.73,0.61
6,8,12,1,1,2,1,5,10,0,0,0,0,0,0,-0.789,-0.407,-0.43,1.21,0,0,0,0,0,0,363157,0.157763482032258,0,0,0.677186699129032,0.261666666666667,0.263333333333333,0.323333333333333,0.466666666666667,1.22266698575,0,0,1.3120492295625,0.870967741935484,1,1,0.483870967741935,2,0,0,3,12,42.4653330813304,40.757152222658,37.9236197069072,34.2628814936767,0.54,0.86,0.94,0.76,0.58,0.84,1.07,0.88,0.67,0.67,0.93,1.14,0.55,0.85,0.97,0.79
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.965,-0.477,-0.606,-0.338,0,0,0,0,0,0,111457,0.0012313365483871,0,0.0879537594516129,0.152143520903226,0.128,0.137333333333333,0.147,0.164666666666667,0.038171433,0,0.454427757166667,0.673778449714286,0.967741935483871,1,0.806451612903226,0.774193548387097,3,0,0,0,0,39.7624579147775,37.0211830629256,35.7126459796494,36.3094375357715,1,1.08,0.86,1.08,1.11,0.91,0.94,1.36,0.69,1.04,1.32,1.6,1.03,1.04,0.88,1.15
8,11,4,4,1,2,3,3,0,0,0,0,0,2,0,-0.684,-0.338,-0.331,0.49,0,0,0,0,0,0,244185,0.167368144387097,0,0,0.619461058129032,0.229,0.244666666666667,0.303,0.420333333333333,1.72947082533333,0,0,1.60027440016667,0.903225806451613,1,1,0.612903225806452,0,1,5,3,4,39.7112665056138,38.6718324537197,37.120671590554,34.7758636797562,1.25,1.03,1.02,1.01,0.79,0.58,0.59,0.59,0.51,0.52,0.53,0.58,1.14,0.92,0.92,0.91
9,72,121,29,42,14,14,23,65,1,0,0,0,5,0,-0.358,-0.499,-0.288,0.176,0,0,0,0,0,0,1898422,0.0153177380645161,0,0,0.437605687096774,0.225833333333333,0.238333333333334,0.303833333333334,0.419,0.47484988,0,0,2.26096271666667,0.967741935483871,1,1,0.806451612903226,0,66,19,41,121,41.1940760454769,39.7388059058183,38.8005615242576,35.8928788279431,1.205,0.99,0.99,0.855,0.65,0.545,0.555,0.56,0.52,0.535,0.54,0.615,1.07,0.88,0.885,0.785
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.437,-0.14,5.583,-0.295,0,0,0,0,0,0,17809,0,0.000260772035714286,0.0675001280645161,0.433137156,0.125666666666667,0.129333333333333,0.134,0.141,0,0.007301617,1.046251985,1.49191687066667,1,0.964285714285714,0.935483870967742,0.709677419354839,1,0,0,0,0,41.0870297697141,37.1895733543044,33.5869397746807,35.0482578255955,1.47,1.77,1.34,1.18,0.83,1.04,0.89,0.65,0.46,0.47,0.45,0.45,1.31,1.59,1.23,1.05
