id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
41,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3.306,1.113,-1.533,-0.429,0,0,0,1,1,1,283806,0.332000096233333,2.21249305596774,0.0839477957666667,0,0.182666666666667,0.137333333333333,0.124,0.119666666666667,0.9960002887,4.572485649,0.314804234125,0,0.666666666666667,0.516129032258065,0.733333333333333,1,0,0,2,2,33.5330321335188,41.6584749211941,44.0662931787063,42.17438993872,1.2,0.87,0.09,0.89,0.86,0.82,1.05,1.25,0.79,0.48,0.49,0.52,1.12,0.86,0.33,0.98,Daarood
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.796,1.046,-1.208,-1.07,0,0,0,1,1,0,122994,1.1437681509,3.198127313,0.972377104466667,0.0522782227096774,0.222666666666667,0.179666666666667,0.161,0.164666666666667,2.01841438394118,4.50645212286364,1.823207070875,0.270104150666667,0.433333333333333,0.290322580645161,0.466666666666667,0.806451612903226,0,0,0,0,35.1604921803766,40.122599304382,41.7209425944334,41.6507982375303,2.03,1.85,1.14,1.41,0.74,0.51,0.54,0.59,0.76,0.55,0.74,0.81,1.71,1.52,0.99,1.21,Dir
43,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2.612,0.697,-1.512,-1.037,0,0,0,1,1,1,1103327,1.54367881273333,2.69162535896774,0.642304569666667,0.0486084400322581,0.184666666666667,0.154,0.141333333333333,0.139,2.57279802122222,3.62784287513043,1.13347865235294,0.215265948714286,0.4,0.258064516129032,0.433333333333333,0.774193548387097,0,0,1,1,33.9544962756507,39.6953480668511,43.0729726943113,43.0095478562089,1.27,0.93,0.45,0.65,0.75,0.51,0.55,0.57,0.51,0.5,0.63,0.68,1.14,0.82,0.47,0.63,Dir
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.251,0.607,-1.179,-0.293,0,0,0,1,1,1,132551,0.1435205452,1.97644638632258,0.412151308933333,0.229821853258065,0.193,0.189666666666667,0.163333333333333,0.155333333333333,0.239200908666667,2.55290991566667,0.686918848222222,0.791608605666667,0.4,0.225806451612903,0.4,0.709677419354839,0,0,0,0,36.7838803935932,37.742512780114,40.8562276675703,39.5241425319868,1.2,0.77,0.23,0.41,1.1,1.14,1.08,0.92,0.88,0.65,0.93,1.17,1.18,0.86,0.44,0.54,Hawiye
45,4,5,2,0,0,0,1,5,0,0,0,0,1,0,3.491,0.058,-1.853,-0.479,0,0,0,1,1,1,67201,0.228417477433333,0.433260290290323,0.1323483473,0.00225844125806452,0.136,0.130666666666667,0.128666666666667,0.128333333333333,0.380695795722222,0.746170499944444,0.33087086825,0.0233372263333333,0.4,0.419354838709677,0.6,0.903225806451613,5,3,1,5,37.8590579306462,43.3988823522824,43.7199624118093,41.2335998065321,0.84,0.4,0.31,0.76,0.87,0.58,0.57,0.56,0.47,0.44,0.43,0.45,0.85,0.44,0.37,0.71,Daarood
46,4,11,2,10,1,1,0,0,0,0,0,0,1,0,0.167,0.575,-1.198,-1.159,0,0,0,0,0,0,169326,0.226199321,2.52143129687097,0.871734528,0.0726379940967742,0.366666666666667,0.359,0.255333333333333,0.223666666666667,0.969425661428572,3.72211286680952,3.26900448,0.750592605666667,0.766666666666667,0.32258064516129,0.733333333333333,0.903225806451613,11,3,2,11,33.5740263310645,34.9752202444317,42.4797311842945,42.6999866930946,1.16,0.92,0.39,0.52,0.98,0.83,0.58,0.63,0.89,0.62,0.62,0.66,1.11,0.9,0.44,0.55,Hawiye
47,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-1.137,0.318,-1.279,-0.623,1,0,0,0,0,0,112637,1.22700188983333,4.69458170258065,1.04224229066667,0,0.444666666666667,0.330333333333333,0.288,0.291,3.34636879045455,13.2301847981818,3.126726872,0,0.633333333333333,0.645161290322581,0.666666666666667,1,0,0,0,0,30.9934041307976,36.0311893543687,41.3365639365825,40.8141228972121,1,0.79,0.21,0.26,0.48,0.44,0.44,0.49,0.43,0.41,0.44,0.48,0.87,0.71,0.27,0.32,Hawiye
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.082,0.149,-1.284,-0.785,0,0,0,1,1,1,94206,0.1463359237,1.91312737141936,0.3249855076,0.0791389453548387,0.192,0.173666666666667,0.155333333333333,0.149,0.548759713875,4.23621060814286,0.749966556,0.6133268265,0.733333333333333,0.548387096774194,0.566666666666667,0.870967741935484,0,0,0,0,36.7889921221051,39.5504616770658,42.000301978573,40.4471803114441,1.28,0.88,0.1,0.55,0.92,0.89,1.05,0.88,0.85,0.59,0.62,0.62,1.19,0.89,0.34,0.63,Daarood
49,6,5,2,1,0,0,4,4,0,0,0,0,0,0,-1.08,1.021,-1.366,-0.48,1,0,0,0,0,0,201112,1.12937544576667,7.23788535903226,1.08262665733333,0.0756655193548387,0.594666666666667,0.459,0.315,0.308333333333333,3.08011485209091,8.62978638961539,2.16525331466667,2.3456311,0.633333333333333,0.161290322580645,0.5,0.967741935483871,1,2,4,5,29.2671283324027,31.0023286677551,41.2767191253107,40.8970164846491,1.73,1.85,0.76,0.72,0.8,0.64,0.45,0.49,0.65,0.45,0.47,0.49,1.5,1.55,0.68,0.66,Hawiye
50,16,2,5,0,6,2,3,0,1,0,0,0,1,0,-0.735,0.02,-1.229,-0.779,0,0,0,0,0,0,206033,0.192131422666667,2.04036622074194,0.772974419166667,0.180810263548387,0.381,0.336666666666667,0.253,0.234666666666667,0.576394268,3.011969183,2.10811205227273,2.802559085,0.666666666666667,0.32258064516129,0.633333333333333,0.935483870967742,1,9,2,2,32.7334950830117,35.5313212451085,43.1010142956674,42.3849349498204,1.08,1.11,0.67,0.74,0.81,0.82,1,0.86,0.79,0.55,0.58,0.61,1.01,1.04,0.75,0.77,Hawiye
51,2,2,0,0,2,2,0,0,0,0,0,0,0,0,-1.008,0.4,-1.118,-0.877,1,0,0,0,0,0,187208,0.9807588305,5.0224875173871,1.51629303926667,0.0866907087419355,0.582,0.533333333333333,0.321,0.304666666666667,2.67479681045455,6.48737970995833,2.52715506544444,0.335926496375,0.633333333333333,0.225806451612903,0.4,0.741935483870968,0,0,2,2,31.1049758380648,32.1860430860022,37.963542131855,40.6035231405314,0.95,0.86,0.48,0.46,0.46,0.46,0.46,0.45,0.48,0.47,0.47,0.49,0.83,0.76,0.48,0.45,Hawiye
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09,0.507,-1.128,-0.423,1,0,0,0,0,0,301769,0.638965026666667,3.95590431741935,1.140219998,0.144017404516129,0.604333333333333,0.506,0.341666666666667,0.330333333333333,4.7922377,5.83966827809524,3.10969090363636,1.48817984666667,0.866666666666667,0.32258064516129,0.633333333333333,0.903225806451613,0,0,0,0,29.1734773143341,32.4585345455223,40.1691751456804,40.0529739001836,1.26,1.44,0.86,0.85,0.56,0.53,0.54,0.59,0.73,0.52,0.55,0.59,1.08,1.21,0.78,0.78,Hawiye
53,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4.434,2.122,-1.175,-0.419,0,0,0,1,1,1,179966,0.301655681133333,2.74626378387097,0.203197299733333,0.0319675134516129,0.217333333333333,0.157333333333333,0.134333333333333,0.127,1.13120880425,5.67561182,0.380994937,0.24774822925,0.733333333333333,0.516129032258065,0.466666666666667,0.870967741935484,0,0,0,0,32.7044606266008,41.7350261571681,44.7438208997656,43.9801837938137,1.22,0.87,0.2,0.42,0.86,0.56,0.58,0.85,0.87,0.5,0.54,0.6,1.13,0.79,0.29,0.53,Daarood
