id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.401,0.167,-0.662,0.612,0,0,0,0,0,0,44730,0.743449842,2.24469359990323,0.00811882366666667,0.500840090129032,0.271854308333333,0.165545884419355,0.155240580166667,0.15395007016129,1.858624605,3.47927507985,0.121782355,1.725115866,0.6,0.354838709677419,0.933333333333333,0.709677419354839
2,26,32,21,24,1,1,4,7,0,0,0,0,0,0,-0.066,-0.861,-0.598,0.357,0,0,0,0,0,0,282548,1.56996917166667,0.803600921612903,0.2195114366,0.485028403548387,0.260232028533333,0.178717706290323,0.230418903466667,0.258664533870968,3.13993834333333,1.77940204071429,0.731704788666667,2.505980085,0.5,0.548387096774194,0.7,0.806451612903226
3,9,3,9,3,0,0,0,0,0,0,0,0,0,0,-0.431,-0.537,-0.446,-0.637,0,0,0,0,0,0,204208,1.77908553636667,1.55306407177419,0.552470373233333,0.428086802258065,0.277392685033333,0.181888875645161,0.143632117666667,0.138970985225806,2.32054635178261,2.67472145694444,1.50673738154545,1.47452120777778,0.233333333333333,0.419354838709677,0.633333333333333,0.709677419354839
4,4,1,1,0,2,1,0,0,1,0,0,0,0,0,-0.207,-0.452,-0.446,0.029,0,0,0,0,0,0,210008,1.88059391486667,1.69583894006452,0.328197942366667,0.237583503096774,0.281977941,0.161937027774194,0.132145875833333,0.102810767419355,3.13432319144445,4.38091726183333,1.09399314122222,0.669553508727273,0.4,0.612903225806452,0.7,0.645161290322581
5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,-0.515,-0.876,-0.47,-0.188,0,0,0,0,0,0,66510,1.76649488383333,0.654630683225807,0.743885294733333,0.839672385677419,0.317734614066667,0.279497823225807,0.224036522433333,0.260120924193548,2.52356411976191,1.56104239846154,1.85971323683333,2.00229568892308,0.3,0.580645161290323,0.6,0.580645161290323
6,15,2,12,0,1,2,2,0,0,0,0,0,0,0,0.312,0.47,-0.561,0.752,0,0,0,0,0,0,373739,1.49132034213333,4.4864715716129,0.313326933933333,0.589363716096774,0.349224515333333,0.249617826451613,0.150764708566667,0.118217027354839,2.63174178023529,5.34925456615384,1.17497600225,1.660934109,0.433333333333333,0.161290322580645,0.733333333333333,0.645161290322581
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609,-0.447,0.406,0.517,0,0,0,1,1,0,114704,0.724785193833333,0.240314801774194,1.32534459203333,1.18380303548387,0.1538635303,0.185497427096774,0.162038041466667,0.137607501387097,3.62392596916667,0.827750983888889,1.65668074004167,2.03877189444444,0.8,0.709677419354839,0.2,0.419354838709677
8,4,6,1,2,3,4,0,0,0,0,0,0,0,0,-0.047,-0.667,-0.639,0.771,0,0,0,0,0,0,251300,1.4598021311,1.18303929032258,0.146480466966667,0.636874782580645,0.2631984795,0.195035121290323,0.263362473,0.278622930645161,2.7371289958125,2.44494786666667,0.549301751125,2.82044546571429,0.466666666666667,0.516129032258065,0.733333333333333,0.774193548387097
9,31,34,14,6,6,8,10,20,1,0,0,0,0,0,0.092,-0.951,-0.468,1.003,0,0,0,0,0,0,1953738,1.57242436,0.447767659677419,0.400271413333333,1.19689564193548,0.189697260866667,0.189013422258065,0.187891547333333,0.189835713548387,9.43454616,1.98297106428571,4.00271413333333,6.18396081666667,0.833333333333333,0.774193548387097,0.9,0.806451612903226
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035,-0.669,-0.439,0.373,0,0,0,0,0,0,18328,0.452060717033333,0.295939221451613,0.1579279491,0.0597266143548387,0.135252342466667,0.148135875645161,0.145840178666667,0.141209115354839,2.26030358516667,0.5733822415625,0.3158558982,0.3085875075,0.8,0.483870967741935,0.5,0.806451612903226
11,10,1,6,0,0,0,4,1,0,0,0,0,0,0,-0.046,-0.536,-0.018,0.247,0,0,0,0,0,0,87695,0.7823501365,0.648329201935484,0.610772303833333,0.864824235806452,0.2999911138,0.289489069354839,0.329358311333333,0.337725995806452,2.3470504095,2.23313391777778,2.61759558785714,2.97883903444444,0.666666666666667,0.709677419354839,0.766666666666667,0.709677419354839
12,15,9,6,5,4,4,3,0,1,0,1,0,0,0,-0.026,0.353,-0.613,-0.188,0,0,0,0,0,0,278475,0.4962924401,2.39985627258065,0.0588552202666667,0.121564856580645,0.268515012666667,0.192765647096774,0.155066444966667,0.114709173451613,1.24073110025,2.75539053518519,0.3531313216,0.3768510554,0.6,0.129032258064516,0.833333333333333,0.67741935483871
13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.329,-0.221,-0.489,0.571,0,0,0,0,0,0,98403,0.760181086833333,1.44013882,0.0362225906333333,0.163477378064516,0.250210833666667,0.167218157032258,0.1643578494,0.132533766967742,1.75426404653846,4.05857303818182,0.2173355438,1.013559744,0.566666666666667,0.645161290322581,0.833333333333333,0.838709677419355
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227,-0.561,-0.375,-0.364,0,0,0,1,0,0,208379,0.72527047,0.403188014548387,0.609229497333333,0.169129814967742,0.132571086466667,0.149316063064516,0.1258643283,0.113058836741935,2.41756823333333,0.961448342384615,1.07511087764706,0.5243024264,0.7,0.580645161290323,0.433333333333333,0.67741935483871
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.042,-0.407,1.479,1.137,0,0,0,1,0,0,471921,0.461767534166667,0.225053879516129,3.204678384,3.41663585354839,0.2065231393,0.247216722774194,0.179617217433333,0.190175132709677,1.731628253125,0.872083783125,3.69770582769231,4.81435052090909,0.733333333333333,0.741935483870968,0.133333333333333,0.290322580645161
16,4,2,1,0,2,2,1,0,0,0,0,0,0,0,0.381,-0.444,0.653,0.287,0,0,0,0,0,0,555929,0.112900104966667,0.214756679967742,0.833129808133333,0.309986986903226,0.161861060633333,0.179313755806452,0.156047100333333,0.145794375483871,0.564500524833333,0.554788089916667,1.136086102,0.9609596594,0.8,0.612903225806452,0.266666666666667,0.67741935483871
