id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,pdi0_p1,pdi0_p2,pdi0_p3,pdi0_p4,tdi0_p1,tdi0_p2,tdi0_p3,tdi0_p4,vdi0_p1,vdi0_p2,vdi0_p3,vdi0_p4,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.57,-0.314,-0.124,-0.491,0,0,0,0,0,0,44730,1.74286023854839,1.620722812,1.04892450793548,0.0596475667586207,0.482666666666667,0.332333333333333,0.242666666666667,0.275333333333333,4.15605133807692,2.70120468666667,2.95605997690909,0.576593145333333,0.580645161290323,0.4,0.645161290322581,0.896551724137931,1,1,1,1,35.9752588797075,38.5004205395873,41.7030132850242,37.6775352000066,1.81,3.61,6.43,4.74,1.08,1.15,1.22,1.49,1.82,1.74,1.72,1.71,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,1.62,2.99,5.13,3.93,12,37781,7183,30598,Hawiye
2,33,69,22,36,5,5,6,28,0,0,0,0,0,0,0.711,-0.678,-0.607,-0.331,0,0,0,0,0,0,282548,2.74977478967742,1.67487935766667,0.309820835064516,0.0251686998965517,0.432333333333333,0.273333333333333,0.246,0.253,4.73572324888889,2.5123190365,1.37206369814286,0.1459784594,0.419354838709677,0.333333333333333,0.774193548387097,0.827586206896552,32,26,20,69,35.5737427882546,40.6073251803073,41.9685977850492,40.5075081862698,1.99,2.76,3.87,3.36,0.99,1.22,1.29,1.3,1.33,1.34,1.35,1.27,0.6,1,1,1,0.6,0.99,1,0,0.6,1,1,1,1.74,2.38,3.23,2.85,10,238655,61604,152241,Hawiye
3,4,8,4,8,0,0,0,0,0,0,0,0,0,0,-0.578,2.079,-0.123,-0.366,0,0,0,0,0,0,204208,1.31910563606452,7.96683876046667,2.20910480341935,0.233385193241379,0.645,0.499333333333333,0.312333333333333,0.343333333333333,1.94725117704762,8.85204306718519,3.80456938366667,0.615288236727273,0.32258064516129,0.1,0.419354838709677,0.620689655172414,8,4,3,8,33.7908793999622,36.7328267028447,41.9493239982121,39.2067000649648,1.89,2.83,4.35,3.77,0.65,1.01,1.37,1.54,1.76,1.76,1.73,1.71,0.6,1,1,1,0.6,0.65,1,0,0.6,1,1,1,1.58,2.38,3.61,3.21,9,172485,34783,124702,Daarood
4,4,3,1,0,0,0,3,3,0,0,0,0,0,0,-0.373,1.445,-0.042,-0.526,0,0,0,0,0,0,210008,0.649344619612903,6.72687215783333,2.48925661377419,0.0493151237931035,0.612,0.465666666666667,0.28,0.315666666666667,1.43783451485714,8.0722465894,5.14446366846667,0.476712863333333,0.548387096774194,0.166666666666667,0.516129032258065,0.896551724137931,0,1,1,3,35.1760964752355,35.6569462107044,41.2659163574822,41.1037876672357,1.74,2.93,4.83,3.79,1.15,1.28,1.47,1.48,1.8,1.53,1.34,1.18,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,1.6,2.52,3.99,3.21,7,177384,30369,129015,Daarood
5,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0.109,1.602,-0.431,-0.489,0,0,0,0,0,0,66510,3.92302209009677,7.25424155103333,1.46377657758064,0.108766997586207,0.721333333333333,0.618333333333333,0.452,0.497666666666667,5.79112784728571,7.77240166182143,2.52094855027778,0.315424293,0.32258064516129,0.0666666666666667,0.419354838709677,0.655172413793103,2,2,1,2,28.8506680712844,32.1806164372631,36.942691499621,35.2001592014677,1.92,2.5,3.23,2.83,1.19,1.26,1.31,1.47,1.74,1.83,1.8,1.69,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,1.74,2.19,2.75,2.49,9,56178,11483,44095,Daarood
6,13,32,7,18,3,3,3,11,0,0,0,0,0,0,0.362,0.925,-0.193,-0.539,0,0,0,0,0,0,373739,2.07134896867742,5.81098355586667,1.98456606280645,6.06173793103448e-05,0.711666666666667,0.524,0.305666666666667,0.323333333333333,3.37956936994737,7.57954376852174,5.12679566225,0.001757904,0.387096774193548,0.233333333333333,0.612903225806452,0.96551724137931,14,9,11,32,32.2161129444271,35.9849843388193,40.7214080636088,39.5800029049318,1.87,2.31,3.19,1.89,0.65,0.69,1.05,1.27,1.76,1.81,1.89,1.8,0.6,1,1,1,0.6,0.65,1,0,0.6,1,1,1,1.57,1.91,2.66,1.73,5,315679,36576,258433,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443,0.905,-0.411,-0.201,0,0,0,0,0,0,114704,0.424980163774194,2.66303772893333,0.539622218064516,0.0927974745862069,0.236,0.205,0.176333333333333,0.188,0.774963828058823,3.9945565934,2.091036095,0.448521127166667,0.451612903225806,0.333333333333333,0.741935483870968,0.793103448275862,0,0,0,0,45.7147660686981,40.2361772608126,40.979530394699,35.8516879461834,3.62,5.12,6.43,4.16,1.15,1.18,1.24,1.45,2.37,2.23,2.17,2.06,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,3,4.13,5.13,3.48,1,96885,4243,92642,Dir
8,12,19,5,2,4,9,2,8,1,0,0,0,0,0,0.159,-0.768,-0.582,-0.522,0,0,0,0,0,0,251300,1.88881409716129,1.29375318243333,0.440790954967742,0.022953635862069,0.510666666666667,0.296666666666667,0.261333333333333,0.288,3.44430805952941,2.28309385135294,1.95207422914286,0.221885146666667,0.451612903225806,0.433333333333333,0.774193548387097,0.896551724137931,11,9,5,19,33.6869105263158,38.9908272038148,39.1247939279534,38.5695736898674,2.29,3.52,5.11,3.15,1.14,1.15,1.22,1.25,1.56,1.43,1.39,1.29,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,2,2.93,4.13,2.68,12,212261,25295,164746,Hawiye
9,61,40,24,14,20,19,15,7,1,0,1,0,0,0,0.896,-1.001,-0.595,-0.313,0,0,0,0,0,0,1953738,2.55509955903226,0.869712906666667,0.200815932387097,0.0100649534482759,0.4715,0.285,0.253666666666666,0.2705,6.60067386083333,3.72734102857143,2.075097968,0.29188365,0.612903225806452,0.766666666666667,0.903225806451613,0.96551724137931,19,31,28,40,34.6303266572852,39.7990761920611,40.5466958565013,39.5385409380686,2.14,3.14,4.49,3.255,1.065,1.185,1.255,1.275,1.445,1.385,1.37,1.28,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,1.87,2.655,3.68,2.765,3,1650228,1280939,0,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911,1.583,0.117,-0.303,0,0,0,0,0,0,18328,0.940939322806452,1.29320780876667,0.285834256548387,0,0.187,0.173,0.168666666666667,0.186333333333333,2.0835085005,3.8796234263,0.984540217,0,0.548387096774194,0.666666666666667,0.709677419354839,1,0,0,0,0,41.8689592255154,41.2565651137092,45.7707415808758,35.9803969346574,3.86,5.45,4.68,4.15,1.1,1.12,1.1,1.39,2.54,2.39,2.17,2.03,0.6,1,1,1,0.6,1,1,1,0.6,1,1,1,3.17,4.37,3.79,3.46,4,15481,4360,11121,Daarood
