id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.145,-0.584,-0.369,-0.969,1,0,0,0,0,0,41060,0.786280795483871,0.1634468299,1.30868111580645,1.16802745333333,0.160666666666667,0.277,0.245666666666667,0.21,3.0468380825,0.9806809794,4.056911459,5.00583194285714,0.741935483870968,0.833333333333333,0.67741935483871,0.766666666666667,0,0,0,0,32.2136623413703,35.0216412935579,35.5028971428144,41.8802833596795,0.45,0.47,0.43,0.41,0.78,0.5,0.52,0.5,0.38,0.44,0.41,0.41,0.53,0.48,0.45,0.44,12,37781,7183,30598,Hawiye
2,26,28,11,13,3,10,10,5,0,0,1,0,1,0,-0.897,-1.072,-0.169,-1.035,0,0,0,0,0,0,259365,0.695212191774193,0.4289298742,2.26833734729032,1.0988952297,0.288666666666667,0.348666666666667,0.260666666666667,0.221333333333333,2.693947243125,1.2867896226,6.39258706963636,2.53591206853846,0.741935483870968,0.666666666666667,0.645161290322581,0.566666666666667,5,3,11,28,33.3919008398087,35.1686187127232,36.5732498353585,43.6782737922552,0.44,0.46,0.46,0.61,0.51,0.5,0.51,0.45,0.39,0.44,0.38,0.33,0.46,0.47,0.47,0.57,10,238655,61604,152241,Hawiye
3,5,15,4,15,1,0,0,0,0,0,0,0,0,0,0.121,0.652,0.66,0.091,0,0,0,0,0,0,187453,0.893049629903226,1.25293515233333,3.95625562096774,4.53875874173333,0.433,0.473333333333333,0.404,0.318333333333333,1.62850226629412,2.50587030466667,6.1321962125,7.56459790288889,0.451612903225806,0.5,0.354838709677419,0.4,0,1,3,15,33.8699736066586,32.435431906711,32.124912793352,39.1814479567777,0.46,0.46,0.48,0.52,0.82,0.94,0.77,0.72,0.97,0.76,0.46,0.41,0.55,0.58,0.55,0.57,9,172485,34783,124702,Daarood
4,10,24,4,23,1,0,4,1,0,0,0,0,1,0,-0.374,0.287,1.253,-0.47,0,0,0,0,0,0,192777,0.429422731709677,0.269516094433333,2.72734959154839,3.67763871213333,0.274,0.384666666666667,0.342,0.269666666666667,1.664013085375,1.15506897614286,7.0456531115,8.48685856646154,0.741935483870968,0.766666666666667,0.612903225806452,0.566666666666667,1,4,2,24,33.892425999299,32.9947768851369,32.4761205047667,40.5205071811574,0.44,0.45,0.49,0.74,0.76,0.86,0.66,0.44,0.97,0.78,0.48,0.47,0.52,0.55,0.53,0.66,7,177384,30369,129015,Daarood
5,6,2,2,0,1,0,3,2,0,0,0,0,0,0,-0.908,0.239,0.176,0.27,0,0,0,0,0,0,61053,0.776662912774194,2.1176388001,5.19103123612903,3.97191074033333,0.661,0.626,0.485333333333333,0.399,2.18877729963636,3.52939800016667,7.66295087238095,9.16594786230769,0.645161290322581,0.4,0.32258064516129,0.566666666666667,0,1,1,2,28.0142246224973,28.7835974043253,29.3597402464728,36.4278424115592,0.42,0.41,0.43,0.5,0.81,0.9,0.72,0.61,0.89,0.66,0.39,0.35,0.52,0.53,0.5,0.53,9,56178,11483,44095,Daarood
6,15,17,4,5,3,0,8,12,0,0,0,0,0,0,-0.57,-0.37,-0.189,-0.829,0,0,0,0,0,0,343074,0.661232147516129,0.327511742133333,2.17765306032258,2.95517645566667,0.378666666666667,0.514333333333333,0.433333333333333,0.313666666666667,1.57678435176923,0.893213842181818,5.62560373916667,5.91035291133333,0.580645161290323,0.633333333333333,0.612903225806452,0.5,4,4,6,17,31.4579118402427,30.9077087749001,31.0419428391788,38.6671057757392,0.46,0.47,0.46,0.46,0.96,0.78,0.54,0.52,0.97,0.75,0.47,0.48,0.58,0.55,0.48,0.47,5,315679,36576,258433,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61,-0.753,0.288,-1.368,1,1,0,0,0,0,105293,0.149739765483871,0.0656854146666667,1.28800535696774,0.292430435166667,0.112,0.138,0.128666666666667,0.126666666666667,0.663133247142857,0.328427073333333,1.66367358608333,1.096614131875,0.774193548387097,0.8,0.225806451612903,0.733333333333333,0,0,0,0,38.5095477603626,43.505170130037,42.4469002837668,44.6346684763555,0.43,0.61,0.58,0.37,1.1,0.98,0.82,0.8,0.46,0.48,0.46,0.49,0.6,0.7,0.64,0.48,1,96885,4243,92642,Dir
8,2,16,2,16,0,0,0,0,0,0,0,0,0,0,-1.18,-0.836,-0.532,-0.949,1,0,0,0,0,0,230681,0.71897447483871,0.546316652833333,1.59362903648387,1.042774692,0.309666666666667,0.346,0.258666666666667,0.229666666666667,3.71470145333333,2.048687448125,6.175312516375,4.46903439428571,0.806451612903226,0.733333333333333,0.741935483870968,0.766666666666667,0,0,2,16,31.660352157812,33.9009200086028,35.442448919335,41.794662987548,0.42,0.43,0.4,0.38,0.53,0.5,0.5,0.48,0.42,0.46,0.42,0.39,0.44,0.45,0.42,0.41,12,212261,25295,164746,Hawiye
9,54,62,16,41,11,16,22,5,1,0,2,0,2,0,-0.838,-0.67,0.284,-0.701,0,0,0,0,0,0,1793435,1.30213239354839,0.76388779,2.42799535483871,1.03354142333333,0.299166666666667,0.347333333333333,0.259666666666667,0.2255,5.76658631428571,4.58332674,18.816964,6.20124854,0.774193548387097,0.833333333333333,0.870967741935484,0.833333333333333,8,11,24,62,32.5261264988103,34.534769360663,36.0078493773468,42.7364683899016,0.43,0.445,0.43,0.495,0.52,0.5,0.505,0.465,0.405,0.45,0.4,0.36,0.45,0.46,0.445,0.49,3,1650228,1280939,0,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-0.557,2.189,-0.127,0,0,0,0,0,0,16824,0,0.00195932586666667,1.65553163835484,0.5997081895,0.133666666666667,0.142,0.131,0.134333333333333,0,0.029389888,3.4214320526,4.49781142125,1,0.933333333333333,0.516129032258065,0.866666666666667,0,0,0,0,35.9077966895075,38.5269396041468,39.9472550073336,45.3627573368416,1.02,0.94,1.2,0.8,1.05,1.07,0.88,0.81,0.88,0.62,0.59,0.84,1.02,0.97,1.12,0.8,4,15481,4360,11121,Daarood
