id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.808,-0.196,-0.404,-0.903,0,0,0,0,0,0,41060,0.235194331612903,0.00159597307142857,0,0.181375333645161,0.195738411935484,0.173966445214286,0.21652028116129,0.244603022580645,1.04157489714286,0.022343623,0,0.702829417875,0.774193548387097,0.928571428571429,1,0.741935483870968
2,9,8,4,4,4,4,1,0,0,0,0,0,0,0,-0.746,-0.243,-0.286,-0.808,0,0,0,0,0,0,259365,0,0.00285669442857143,0,0.210814707193548,0.195100497741936,0.186780316428571,0.261344755870968,0.251884304193548,0,0.079987444,0,0.726139547,1,0.964285714285714,1,0.709677419354839
3,2,57,2,57,0,0,0,0,0,0,0,0,0,0,-0.944,0.402,-0.474,-0.055,0,0,0,0,0,0,187453,0.0733880753548387,0.2094605465,0,1.15983538132258,0.206720551612903,0.199948764821429,0.293767717225806,0.308058666129032,0.1137515168,0.73311191275,0,2.56820691578571,0.354838709677419,0.714285714285714,1,0.548387096774194
4,3,11,1,10,1,1,1,0,0,0,0,0,0,0,-0.796,1.024,-0.445,0.64,0,0,0,0,0,0,192777,0.221366712,0.160386715,0,1.56814861406452,0.201059162741935,0.178119888928571,0.299510682129032,0.259181985935484,0.762485341333333,0.748471336666667,0,5.40140078177778,0.709677419354839,0.785714285714286,1,0.709677419354839
5,4,31,3,31,0,0,1,0,0,0,0,0,0,0,-0.787,-0.183,-0.062,-0.452,0,0,0,0,0,0,61053,0.24173167883871,0.04538761675,0.108384063870968,0.910660747354839,0.259725864193548,0.242835870714286,0.321671822903226,0.308879607741936,0.624473503666667,0.211808878166667,0.4199882475,2.17157562830769,0.612903225806452,0.785714285714286,0.741935483870968,0.580645161290323
6,12,23,3,14,2,2,5,7,0,0,0,0,2,0,-0.654,-0.364,-0.43,-0.506,0,0,0,0,0,0,343074,0.26325066816129,0.00183553953571429,0,0.0870345355806452,0.235098090516129,0.2132051825,0.320309076129032,0.273459389677419,1.6321541426,0.051395107,0,0.449678433833333,0.838709677419355,0.964285714285714,1,0.806451612903226
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927,-0.263,-0.178,-0.067,0,0,0,0,0,0,105293,0.561126274741935,0.0286461107142857,0.13983446883871,0.206260438064516,0.104640578612903,0.0896624411428571,0.139330956258065,0.133778110096774,2.48498778814286,0.40104555,0.722478089,1.598518395,0.774193548387097,0.928571428571429,0.806451612903226,0.870967741935484
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.238,-0.322,-0.331,-0.717,1,0,0,0,0,0,230681,0.0303476612258065,0.000291285071428571,0,0.234179136935484,0.21424155516129,0.217407733571429,0.270166647548387,0.286141185483871,0.2351943745,0.008155982,0,0.7259553245,0.870967741935484,0.964285714285714,1,0.67741935483871
9,79,99,23,16,26,54,24,26,1,0,3,0,2,3,-0.663,0.593,-0.288,-0.715,0,0,0,0,0,0,1793435,0,0.0179552178571429,0,0.163885058064516,0.175092050645161,0.177531739285714,0.196764747419355,0.223898042258065,0,0.5027461,0,1.69347893333333,1,0.964285714285714,1,0.903225806451613
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37,-0.205,-0.203,1.291,0,0,0,0,0,0,16824,0.00835083874193548,0,0,1.71107294954839,0.148781941774194,0.135154333785714,0.145913025129032,0.134797772419355,0.06471900025,0,0,5.89369571511111,0.870967741935484,1,1,0.709677419354839
