id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,clan,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3
1,1,4,1,4,0,0,0,0,0,0,0,0,0,0,-0.491,-0.253,-0.19,0.931,0,0,0,0,0,0,44730,0.0596475667586207,0.00747634674193548,0.397730104580645,2.677342596,0.275333333333333,0.378666666666667,0.48,0.462333333333333,0.576593145333333,0.077255583,1.36995924911111,3.346678245,0.896551724137931,0.903225806451613,0.709677419354839,0.2,0,4,1,1,4,37.6775352000066,34.7232343166667,33.7409924149791,31.7184410510356,4.74,4.11,3.98,3.56,1.49,1.44,1.31,1.33,1.71,1.62,1.51,1.1,3.93,3.44,3.31,3
2,23,31,13,15,5,4,5,12,0,0,0,0,0,0,-0.331,0.134,-0.388,0.122,0,0,0,0,0,0,282548,0.0251686998965517,0.00866788387096774,0.384711153870968,2.58550915946667,0.253,0.361333333333333,0.5197,0.480333333333333,0.1459784594,0.1343522,1.32511619666667,3.37240325147826,0.827586206896552,0.935483870967742,0.709677419354839,0.233333333333333,0,6,13,13,31,40.5075081862698,36.8395101233333,34.1705867274455,35.0643667261673,3.36,2.94,2.97,2.36,1.3,1.33,1.21,1.23,1.27,1.31,1.23,1.04,2.85,2.54,2.53,2.08
3,5,6,3,0,0,0,2,6,0,0,0,0,0,0,-0.366,1.515,0.593,2.903,0,0,0,0,0,0,204208,0.233385193241379,0.254003741806452,1.86353897903226,11.8681700504667,0.343333333333333,0.488666666666667,0.6157,0.588333333333333,0.615288236727273,0.49213224975,3.610606771875,15.4802218049565,0.620689655172414,0.483870967741935,0.483870967741935,0.233333333333333,1,0,2,2,6,39.2067000649648,36.59581404,31.0548145588705,32.3163217219068,3.77,3.3,3.05,3.25,1.54,1.47,1.41,1.11,1.71,1.63,1.58,1.29,3.21,2.84,2.64,2.71
4,2,3,1,0,1,3,0,0,0,0,0,0,0,0,-0.526,0.368,0.448,1.963,0,0,0,0,0,0,210008,0.0493151237931035,0.0822937382903226,1.34297393774194,8.299969442,0.315666666666667,0.476333333333333,0.6303,0.149666666666667,0.476712863333333,0.5102211774,2.973728005,12.449954163,0.896551724137931,0.838709677419355,0.548387096774194,0.333333333333333,1,3,2,1,3,41.1037876672357,38.5678991066667,30.2465556859474,31.1220496110624,3.79,3.5,3.34,4.02,1.48,1.63,1.55,1.21,1.18,0.92,0.63,0.33,3.21,3.03,2.9,3.31
5,1,3,0,0,0,0,1,3,0,0,0,0,0,0,-0.489,2.629,0.954,2.778,0,0,0,0,0,0,66510,0.108766997586207,0.699905497903225,2.12210794645161,9.001053214,0.497666666666667,0.598333333333333,0.681,0.681,0.315424293,1.03319383023809,3.65474146333333,12.2741634736364,0.655172413793103,0.32258064516129,0.419354838709677,0.266666666666667,1,0,0,1,3,35.2001592014677,33.9907212933333,30.6943119399949,30.0691462763347,2.83,2.53,2.35,2.13,1.47,1.41,1.43,1.19,1.69,1.57,1.59,1.37,2.49,2.25,2.12,1.9
6,6,2,3,1,1,1,1,0,0,0,0,0,1,0,-0.539,-0.406,1.524,2.437,0,0,0,0,0,0,373739,6.06173793103448e-05,0.000260913290322581,0.570890724354839,4.76074477426667,0.323333333333333,0.496333333333333,0.6527,0.684666666666667,0.001757904,0.008088312,1.17984083033333,6.20966709686956,0.96551724137931,0.967741935483871,0.516129032258065,0.233333333333333,2,1,3,2,2,39.5800029049318,36.7263800066667,30.4075132325875,29.7143487592828,1.89,2.52,2.84,2.83,1.27,1.42,1.38,1.36,1.8,1.65,1.49,1.19,1.73,2.24,2.47,2.46
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201,1.277,2.692,1.928,0,0,0,0,0,0,114704,0.0927974745862069,0.299399605806452,0.663124078419355,0.933655344,0.188,0.211666666666667,0.202,0.192333333333333,0.448521127166667,1.54689796333333,1.58129587930769,1.867310688,0.793103448275862,0.806451612903226,0.580645161290323,0.5,3,0,0,0,0,35.8516879461834,34.37065469,33.5823460922518,39.4487351850527,4.16,3.85,3.98,4.53,1.45,1.45,1.52,1.25,2.06,1.92,1.79,1.46,3.48,3.25,3.37,3.71
8,6,12,3,2,1,10,2,0,0,0,0,0,0,0,-0.522,-0.262,-0.482,0.045,0,0,0,0,0,0,251300,0.022953635862069,0.00144730577419355,0.302607266451613,2.33642106726667,0.288,0.366333333333333,0.4683,0.449333333333333,0.221885146666667,0.0224332395,1.34011789428571,3.04750573991304,0.896551724137931,0.935483870967742,0.774193548387097,0.233333333333333,0,0,4,2,12,38.5695736898674,35.1459753566667,32.9046648510849,33.0963471585923,3.15,2.75,2.94,2.67,1.25,1.37,1.28,1.25,1.29,1.2,1.06,0.92,2.68,2.41,2.52,2.31
9,41,31,20,11,9,9,12,11,0,0,0,0,0,0,-0.313,-0.288,-0.469,-0.315,0,0,0,0,0,0,1953738,0.0100649534482759,0,0.217006496774194,1.73245647266667,0.2705,0.363833333333333,0.494,0.464833333333333,0.29188365,0,2.24240046666667,4.72488128909091,0.96551724137931,1,0.903225806451613,0.633333333333333,0,18,23,22,31,39.5385409380686,35.99274274,33.5376257892652,34.0803569423798,3.255,2.845,2.955,2.515,1.275,1.35,1.245,1.24,1.28,1.255,1.145,0.98,2.765,2.475,2.525,2.195
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.303,-0.203,4.689,2.647,0,0,0,0,0,0,18328,0,0,4.20025841532258,0.964649222666667,0.186333333333333,0.211666666666667,0.203,0.161333333333333,0,0,10.8506675729167,1.52313035157895,1,1,0.612903225806452,0.366666666666667,1,0,0,0,0,35.9803969346574,33.1216868133333,32.3401788150472,36.1365910307485,4.15,4.76,5,2.37,1.39,1.4,1.41,1.16,2.03,1.81,1.34,0.9,3.46,3.92,4.1,2.07
11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.305,-0.186,0.717,0.546,0,0,0,0,0,0,87695,0.00325088534482759,0.000699780709677419,0.342895149354839,1.8353067339,0.264666666666667,0.395666666666667,0.513,0.437,0.02356891875,0.010846601,1.062974963,3.4412001260625,0.862068965517241,0.935483870967742,0.67741935483871,0.466666666666667,0,0,2,0,0,38.3874425995589,36.47700988,32.5085419147756,35.3240026108283,1.97,2.14,2.19,2,1.31,1.46,1.41,1.29,1.48,1.52,1.3,0.97,1.81,1.97,1.99,1.82
12,10,33,5,31,3,1,2,1,0,0,0,0,0,0,-0.393,0.252,2.56,3.435,0,0,0,0,0,0,278475,0.00724112979310345,0.00354287119354839,0.278195059032258,3.5108510124,0.240666666666667,0.314666666666667,0.4183,0.470666666666667,0.052498191,0.0219658014,2.87468227666667,4.21302121488,0.862068965517241,0.838709677419355,0.903225806451613,0.166666666666667,0,0,1,4,33,39.8409540866874,36.8843543166667,35.0179316307602,33.406956233438,3.73,3.3,3.34,2.82,1.64,1.61,1.52,1.41,2.18,2.1,1.94,1.77,3.2,2.88,2.88,2.46
13,7,1,3,1,1,0,1,0,1,0,0,0,1,0,-0.508,-0.411,1.534,1.499,0,0,0,0,0,0,98403,0.00118443724137931,0,1.15653116129032,3.6469393848,0.284,0.408666666666667,0.568,0.569666666666667,0.03434868,0,3.5852466,6.078232308,0.96551724137931,1,0.67741935483871,0.4,1,0,2,1,1,42.3133020634088,39.68401011,31.7682509424125,32.1945585769924,3.85,4.08,4.27,3.78,1.78,1.69,1.56,1.38,2.56,2.46,2.25,2.14,3.33,3.48,3.59,3.18
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.335,0.865,3.476,2.419,0,0,0,0,0,0,208379,0.00232553624137931,0.122867087516129,0.692186802548387,1.27979025856667,0.171666666666667,0.179333333333333,0.1623,0.149666666666667,0.0224801836666667,0.476109964125,1.78814923991667,1.82827179795238,0.896551724137931,0.741935483870968,0.612903225806452,0.3,3,0,0,0,0,36.4072575302458,34.4756338833333,34.0207720342531,40.2191831678769,4.02,4.15,3.97,3.84,1.44,1.43,1.46,1.34,2.18,1.9,1.77,1.44,3.37,3.47,3.34,3.21
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.456,0.69,1.668,1.749,0,0,0,0,0,0,471921,0.224742185862069,0.193848446129032,0.386414063870968,0.7472479545,0.203,0.250333333333333,0.2523,0.278,1.08625389833333,1.001550305,1.197883598,1.72441835653846,0.793103448275862,0.806451612903226,0.67741935483871,0.566666666666667,3,0,0,0,0,34.3740846242056,31.88910657,30.9871931093157,34.3706774294897,3.83,2.77,3.15,3.68,1.49,1.45,1.5,1.46,2.32,2.15,1.96,1.8,3.25,2.44,2.74,3.13
16,13,7,6,2,4,5,3,0,0,0,0,0,0,0,-0.39,-0.182,2.716,3.025,0,0,0,0,0,0,555929,0,0,0.909843648419355,0.261811336633333,0.178333333333333,0.194333333333333,0.1933,0.186,0,0,1.7628220688125,0.4908962561875,1,1,0.483870967741935,0.466666666666667,1,0,4,5,7,35.7169470707378,32.95253857,31.2399956571873,35.5891488380537,2.85,3.01,2.99,2.47,1.18,1.36,1.41,1.39,2.15,2.03,1.9,1.89,2.44,2.6,2.6,2.2
17,2,0,0,0,0,0,2,0,0,0,0,0,0,0,-0.463,0.371,0.757,2.074,0,0,0,0,0,0,129031,0.0516378717241379,0.0297869457741935,1.32580955170968,8.39158682533333,0.386,0.55,0.664,0.694666666666667,0.74874914,0.307798439666667,3.16154585407692,11.9879811790476,0.931034482758621,0.903225806451613,0.580645161290323,0.3,0,0,0,0,0,38.5731911388431,36.2743614233333,30.170606804018,30.253453613393,3.22,2.82,2.55,2.95,1.51,1.43,1.33,1.07,1.65,1.52,1.46,1.32,2.79,2.47,2.24,2.48
18,8,1,1,0,3,1,2,0,0,0,1,0,1,0,-0.527,0.443,1.51,1.786,0,0,0,0,0,0,163716,0.0185554073448276,0.0271979321935484,0.34813217916129,3.11700572113333,0.279333333333333,0.403,0.535,0.566,0.1076213626,0.120447985428571,1.19912195044444,3.46333969014815,0.827586206896552,0.774193548387097,0.709677419354839,0.1,0,1,6,1,1,39.5410354908305,35.86904735,32.6695965870437,31.4652596628987,2.67,2.72,3.01,2.68,1.68,1.57,1.47,1.37,2.06,1.94,1.79,1.44,2.42,2.43,2.63,2.35
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.567,0.095,3.102,4.134,0,0,0,0,0,0,545022,0.00271555203448276,0.00477623693548387,0.22928097483871,1.78517200896667,0.206333333333333,0.257,0.272,0.271,0.01968775225,0.0740316725,1.01538717428571,2.43432546677273,0.862068965517241,0.935483870967742,0.774193548387097,0.266666666666667,3,0,0,0,0,40.2018613985297,36.12326552,32.917916822551,36.0564349366551,3.39,3.82,4.05,3.95,1.71,1.74,1.67,1.5,2.78,2.53,2.41,2.28,2.97,3.3,3.46,3.34
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.406,-0.191,3.953,4.188,0,0,0,0,0,0,76911,0,0,0.142346939709677,1.11273346453333,0.198333333333333,0.241333333333333,0.2613,0.258333333333333,0,0,0.630393590142857,1.51736381527273,1,1,0.774193548387097,0.266666666666667,1,0,0,0,0,37.8607485032451,34.5117381866667,34.0898606661208,36.4495328476402,2.86,3.18,3.22,2.81,1.48,1.44,1.39,1.32,1.84,1.71,1.56,1.29,2.52,2.75,2.76,2.43
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.554,-0.097,4.713,2.447,0,0,0,0,0,0,99150,0,0.000322797870967742,0.530473234193548,1.2281277241,0.196666666666667,0.242666666666667,0.271,0.314,0,0.010006734,3.288934052,1.93914903805263,1,0.967741935483871,0.838709677419355,0.366666666666667,1,0,0,0,0,39.5416767071631,35.9539241666667,34.2519800153517,35.5280317069766,2.95,3.34,3.61,3.4,1.51,1.52,1.53,1.4,2,1.94,1.87,1.84,2.59,2.88,3.09,2.9
22,1,2,1,2,0,0,0,0,0,0,0,0,0,0,-0.526,-0.307,0.273,1.268,0,0,0,0,0,0,233467,0.00231996451724138,0.001375845,0.409888751064516,3.84423860483333,0.314,0.462333333333333,0.632,0.653333333333333,0.0112131618333333,0.042651195,0.977427021769231,4.6130863258,0.793103448275862,0.967741935483871,0.580645161290323,0.166666666666667,2,0,0,1,2,40.045290248222,37.1327036066667,30.7167341377566,30.4324528009925,1.59,2.12,2.37,2.37,1.34,1.43,1.35,1.3,1.75,1.65,1.52,1.22,1.53,1.94,2.11,2.1
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315,-0.259,1.981,3.77,0,0,0,0,0,0,120711,0.0188297566206897,0.000313251870967742,0.0905684057096774,3.05712571383333,0.225666666666667,0.295333333333333,0.338,0.337,0.1092125884,0.009710808,1.4038102885,3.98755527891304,0.827586206896552,0.967741935483871,0.935483870967742,0.233333333333333,0,0,0,0,0,39.6932759156152,36.5084297966667,37.0146832737476,35.1481339925132,5.22,4.37,4.39,3.71,1.66,1.64,1.51,1.43,1.94,1.85,1.73,1.63,4.33,3.69,3.67,3.14
24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.265,0.028,1.454,3.48,0,0,0,0,0,0,153422,0.0100042800689655,0.0078194435483871,0.0518060491612903,2.03627336683333,0.208666666666667,0.256666666666667,0.2873,0.269333333333333,0.145062061,0.121201375,0.3211975048,2.77673640931818,0.931034482758621,0.935483870967742,0.838709677419355,0.266666666666667,0,0,0,0,0,38.294623323385,35.9673559366667,36.7571657855351,34.872516868796,3.44,2.87,3.1,3.1,1.61,1.55,1.54,1.47,1.91,1.83,1.65,1.25,2.98,2.54,2.71,2.69
25,6,7,3,7,1,0,0,0,0,0,0,0,2,0,-0.625,-0.183,-0.361,0.534,0,0,0,0,0,0,102878,0.0279237969655172,0.0100808992903226,0.358854440935484,2.58359264106667,0.264666666666667,0.346333333333333,0.4587,0.424333333333333,0.269930037333333,0.0781269695,1.23605418544444,3.36990344486956,0.896551724137931,0.870967741935484,0.709677419354839,0.233333333333333,0,0,3,2,7,37.9643172498286,34.71183471,33.45543934654,32.6997474930957,2.38,2.95,3.27,3.21,1.24,1.35,1.28,1.3,1.39,1.24,1,0.68,2.09,2.55,2.77,2.73
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333,-0.214,1.516,1.001,0,0,0,0,0,0,57996,0,0.00484413096774194,1.46076811354839,1.24284815703333,0.258666666666667,0.272,0.25,0.215666666666667,0,0.05005602,5.66047644,2.66324605078571,1,0.903225806451613,0.741935483870968,0.533333333333333,1,0,0,0,0,33.1947138003219,31.01565134,28.4898199553294,33.1676915445155,3.73,4.04,4.08,2.95,1.23,1.24,1.34,1.05,1.71,1.47,1.35,1.07,3.11,3.34,3.39,2.48
