id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,region,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,-0.662,0.612,2.428,0,0,0,0,0,0,44730,2.24469359990323,0.00811882366666667,0.500840090129032,1.61096250290323,0.300333333,0.196333333,0.258,0.209,3.47927507985,0.121782355,1.725115866,4.993983759,0.354838709677419,0.933333333333333,0.709677419354839,0.67741935483871,0,0,0,0,41.14825025,38.80744683,35.31161236,35.4947893485496,3.09,2.25,3.76,3.25,0.74,0.98,0.79,0.56,1.18,1.19,1,1.06,2.5,1.94,3.02,2.58,12,1
2,29,111,19,78,4,6,5,27,1,0,0,0,0,0,-0.861,-0.598,0.357,2.454,0,0,0,0,0,0,282548,0.803600921612903,0.2195114366,0.485028403548387,1.83554871483871,0.268333333,0.342,0.508,0.303666666666667,1.77940204071429,0.731704788666667,2.505980085,4.06442929714286,0.548387096774194,0.7,0.806451612903226,0.548387096774194,61,20,16,111,38.63663675,37.2086796,32.30992581,34.0329359126201,2.35,2.35,3.14,3.15,1.23,1.1,0.88,0.59,1.42,1.49,1.14,0.93,2.07,2.04,2.57,2.51,10,2
3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.537,-0.446,-0.637,2.12,0,0,0,0,0,0,204208,1.55306407177419,0.552470373233333,0.428086802258065,1.58247639880645,0.330333333,0.332,0.268,0.452,2.67472145694444,1.50673738154545,1.47452120777778,2.044032015125,0.419354838709677,0.633333333333333,0.709677419354839,0.225806451612903,0,6,0,0,40.82182847,38.70996425,34.9854025,33.1286617569342,1.83,2.27,2.77,2.57,0.53,0.57,0.58,0.57,1.25,1.34,1.32,1.47,1.5,1.85,2.22,2.07,9,3
4,5,10,3,0,0,0,2,10,0,0,0,0,0,0,-0.452,-0.446,0.029,1.834,0,0,0,0,0,0,210008,1.69583894006452,0.328197942366667,0.237583503096774,0.690712317580645,0.274333333,0.285666667,0.232333333,0.305666666666667,4.38091726183333,1.09399314122222,0.669553508727273,1.019622945,0.612903225806452,0.7,0.645161290322581,0.32258064516129,0,3,1,10,38.51629592,38.39891571,34.75164056,34.0506092885631,0.61,1.24,2.01,2.07,0.83,1.04,0.83,0.57,1.27,1.35,1.34,1.43,0.66,1.19,1.72,1.69,7,4
5,4,0,3,0,0,0,1,0,0,0,0,0,0,0,-0.876,-0.47,-0.188,2.647,0,0,0,0,0,0,66510,0.654630683225807,0.743885294733333,0.839672385677419,2.62730894345161,0.468,0.490333333,0.577666667,0.627333333333333,1.56104239846154,1.85971323683333,2.00229568892308,3.39360738529167,0.580645161290323,0.6,0.580645161290323,0.225806451612903,0,4,0,0,36.13746698,33.38780503,29.05853002,28.9807503823554,2.29,2.98,3.15,2.63,0.87,1.1,1.13,1.13,1.58,1.62,1.7,1.76,1.93,2.51,2.65,2.26,9,5
6,13,4,5,4,2,0,5,0,0,0,0,0,1,0,0.47,-0.561,0.752,1.294,0,0,0,0,0,0,373739,4.4864715716129,0.313326933933333,0.589363716096774,0.972364025870968,0.485666667,0.290666667,0.357,0.350666666666667,5.34925456615384,1.17497600225,1.660934109,1.67462693344444,0.161290322580645,0.733333333333333,0.645161290322581,0.419354838709677,2,8,2,4,36.35907412,36.57073564,33.18604707,32.4742831471716,2.02,2.13,2.97,2.4,1.09,1.07,0.83,0.56,1.56,1.59,1.56,1.54,1.79,1.87,2.43,1.94,5,6
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.447,0.406,0.517,0.85,0,0,0,0,0,0,114704,0.240314801774194,1.32534459203333,1.18380303548387,0.910936984354839,0.185333333,0.208333333,0.186,0.127666666666667,0.827750983888889,1.65668074004167,2.03877189444444,2.01707475107143,0.709677419354839,0.2,0.419354838709677,0.548387096774194,0,0,0,0,46.5386247,47.06305285,43.68364336,42.8696047400612,2,3.1,3.41,4.04,0.37,0.47,0.52,0.58,2.18,2.29,2.22,2.17,1.59,2.44,2.69,3.17,1,7
8,6,12,4,6,1,0,1,6,0,0,0,0,0,0,-0.667,-0.639,0.771,2.56,0,0,0,0,0,0,251300,1.18303929032258,0.146480466966667,0.636874782580645,1.97293977254839,0.308666667,0.406666667,0.489333333,0.339,2.44494786666667,0.549301751125,2.82044546571429,4.3686523535,0.516129032258065,0.733333333333333,0.774193548387097,0.548387096774194,10,5,4,12,37.06589976,34.42741681,30.55633512,30.4506196777905,2.85,2.56,3.78,3.76,1.17,1.38,1.2,1.14,1.81,1.82,1.66,1.52,2.43,2.26,3.13,3.1,12,8
9,28,21,13,9,8,10,3,2,3,0,1,0,0,0,-0.951,-0.468,1.003,2.98,0,0,0,0,0,0,1953738,0.447767659677419,0.400271413333333,1.19689564193548,3.42808978612903,0.2885,0.3743333335,0.4986666665,0.321333333333333,1.98297106428571,4.00271413333333,6.18396081666667,11.8078648188889,0.774193548387097,0.9,0.806451612903226,0.709677419354839,16,15,15,21,37.851268255,35.818048205,31.433130465,32.2417777952053,2.6,2.455,3.46,3.455,1.2,1.24,1.04,0.865,1.615,1.655,1.4,1.225,2.25,2.15,2.85,2.805,3,9
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.669,-0.439,0.373,-0.229,0,0,0,0,0,0,18328,0.295939221451613,0.1579279491,0.0597266143548387,0.000107700870967742,0.161333333,0.146,0.140333333,0.140666666666667,0.5733822415625,0.3158558982,0.3085875075,0.0016693635,0.483870967741935,0.5,0.806451612903226,0.935483870967742,0,0,0,0,46.40388057,41.58650848,38.83623805,39.4403962950038,0.98,1.89,1.84,1.25,0.45,0.54,0.47,0.5,2.11,2.13,2.17,2.24,0.85,1.55,1.5,1.06,4,10
