id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.793,-0.294,0.492,-1.145,0,0,0,0,0,0,41060,1.09211460148387,0.0021312505,0.602446403032258,0.786280795483871,0.162564147258065,0.1262964664,0.109072158806452,0.0845200716129032,4.23194408075,0.063937515,1.69780349945455,3.0468380825,0.741935483870968,0.966666666666667,0.645161290322581,0.741935483870968
2,42,94,28,55,2,2,8,33,0,0,0,0,4,4,-0.607,-1.377,-1.109,-0.897,0,0,0,0,0,0,259365,1.07172037096774,0.00539478266666667,0.163941363870968,0.695212191774193,0.150181984645161,0.1655906834,0.168080955612903,0.127463593096774,16.61166575,0.08092174,1.27054557,2.693947243125,0.935483870967742,0.933333333333333,0.870967741935484,0.741935483870968
3,3,1,1,0,2,1,0,0,0,0,0,0,0,0,-0.423,0.298,0.083,0.121,0,0,0,0,0,0,187453,1.32435164429032,0.626022125,0.557830310387097,0.893049629903226,0.146036831935484,0.136721299966667,0.134982724,0.113088423483871,4.1054900973,3.130110625,1.44106163516667,1.62850226629412,0.67741935483871,0.8,0.612903225806452,0.451612903225806
4,1,25,1,25,0,0,0,0,0,0,0,0,0,0,-0.426,0.114,0.122,-0.374,0,0,0,0,0,0,192777,1.46281404593548,0.290425049,0.213891129354839,0.429422731709677,0.144662287258064,0.137677975933333,0.108841019,0.0570172701935484,3.48824887876923,2.1781878675,1.326125002,1.664013085375,0.580645161290323,0.866666666666667,0.838709677419355,0.741935483870968
5,3,4,0,0,1,2,2,2,0,0,0,0,0,0,-0.396,-0.302,-0.178,-0.908,0,0,0,0,0,0,61053,1.16415013035484,0.8059049095,0.818691658967742,0.776662912774194,0.248778346225806,0.2635013002,0.269393578064516,0.284106623032258,2.57776100292857,3.022143410625,2.81993793644444,2.18877729963636,0.548387096774194,0.733333333333333,0.709677419354839,0.645161290322581
6,11,2,4,2,1,0,5,0,1,0,0,0,0,0,-0.737,0.001,0.423,-0.57,0,0,0,0,0,0,343074,1.73495287174194,0.267721541533333,0.533989306677419,0.661232147516129,0.177867033870968,0.149180737833333,0.125816859258064,0.0758014076129032,4.13719530953846,1.33860770766667,1.83929650077778,1.57678435176923,0.580645161290323,0.8,0.709677419354839,0.580645161290323
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.661,1.439,0.265,-1.61,0,0,0,0,0,0,105293,0.259856211290323,1.30821110583333,0.855424578,0.149739765483871,0.146992304516129,0.127073274433333,0.0923375205483871,0.0916947927741936,0.6712952125,1.78392423522727,1.26276961514286,0.663133247142857,0.612903225806452,0.266666666666667,0.32258064516129,0.774193548387097
8,6,7,2,1,0,0,4,6,0,0,0,0,0,0,-0.438,-0.893,-1.082,-1.18,0,0,0,0,0,0,230681,1.42262559354839,0,0.28281262916129,0.71897447483871,0.173472160741935,0.167275258333333,0.175561208064516,0.147432089741935,22.0506967,0,1.7534383008,3.71470145333333,0.935483870967742,1,0.838709677419355,0.806451612903226
9,74,670,19,20,23,22,20,624,6,0,2,1,4,3,-0.382,-1.582,-1.169,-0.838,0,0,0,0,0,0,1793435,0.898412451612903,0,0.507767848387097,1.30213239354839,0.152830664096774,0.157856766866667,0.169320736580645,0.131987480903226,27.850786,0,3.935200825,5.76658631428571,0.967741935483871,1,0.870967741935484,0.774193548387097
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,1.046,-0.162,-0.115,0,0,0,0,0,0,16824,0.708076988387097,0.216972160433333,0.0102230273548387,0,0.123900533548387,0.1267564814,0.131733991419355,0.132465457935484,1.82919888666667,0.6509164813,0.0528189746666667,0,0.612903225806452,0.666666666666667,0.806451612903226,1
