id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,pdi0_p1,pdi0_p2,pdi0_p3,pdi0_p4,tdi0_p1,tdi0_p2,tdi0_p3,tdi0_p4,vdi0_p1,vdi0_p2,vdi0_p3,vdi0_p4,cdi0,cdi1,cdi2,cdi3,region,pop14,popurban14,poprural14,clans
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.404,-1.218,1.219,-0.793,0,0,0,0,0,0,42239,0,0.0762325748387097,3.01123493983333,1.09211460148387,0.228,0.320333333333333,0.264,0.206666666666667,0,0.393868303333333,6.02246987966667,4.23194408075,1,0.806451612903226,0.5,0.741935483870968,0,0,0,0,36.0487482317853,36.4456978837052,37.1448074854994,36.8380606820699,0.88,0.95,0.83,0.56,0.82,0.8,1.01,1.24,0.4,0.38,0.37,0.35,0.6,0.88,1,0,0.6,0.82,1,0,0.4,0.4,0,0,0.87,0.91,0.88,0.73,12,37781,7183,30598,Hawiye
2,18,29,10,19,5,4,3,6,0,0,0,0,0,0,-0.286,-1.234,0.229,-0.607,0,0,0,0,0,0,266816,0,0.0278332986451613,2.75808846853333,1.07172037096774,0.289333333333333,0.381,0.253333333333333,0.234,0,0.2157080645,6.36481954276923,16.61166575,1,0.870967741935484,0.566666666666667,0.935483870967742,2,3,13,29,38.4129619014441,37.4971257724445,39.4024253997731,41.1702605537393,0.72,0.72,0.6,0.34,0.73,0.48,0.49,0.53,0.35,0.34,0.35,0.4,0.6,0.72,1,0,0.6,0.73,1,0,0.35,0.35,0,0,0.73,0.66,0.58,0.39,10,238655,61604,152241,Hawiye
3,6,3,3,3,0,0,3,0,0,0,0,0,0,0,-0.47,-1.106,0.365,-0.423,0,0,0,0,0,0,192838,0.000590160064516129,0.0608103801935484,4.78973224356667,1.32435164429032,0.322666666666667,0.456666666666667,0.299666666666667,0.262666666666667,0.018294962,0.23564022325,7.98288707261111,4.1054900973,0.967741935483871,0.741935483870968,0.4,0.67741935483871,0,0,2,3,38.038499643464,38.1185867384538,37.0353358184717,42.7151494671615,0.44,0.41,0.5,0.61,0.43,0.44,0.48,0.52,0.38,0.46,0.49,0.54,0.44,0.44,0,0,0.43,0.43,0,0,0.38,0.38,0,0,0.44,0.42,0.49,0.58,9,172485,34783,124702,Daarood
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.445,-1.078,0.89,-0.426,0,0,0,0,0,0,198315,0,0.0365821192580645,5.47968197546667,1.46281404593548,0.293666666666667,0.476666666666667,0.307333333333333,0.235,0,0.162006528142857,10.274403704,3.48824887876923,1,0.774193548387097,0.466666666666667,0.580645161290323,0,0,0,0,38.8508237877522,37.6147754188886,34.8681802216887,40.7110485680954,0.71,0.82,0.74,0.57,0.81,0.56,0.58,0.61,0.95,0.79,0.79,0.96,0.6,0.71,1,0,0.6,0.81,1,0,0.6,0.95,1,0,0.74,0.75,0.7,0.58,7,177384,30369,129015,Daarood
5,5,20,1,0,0,0,2,20,1,0,0,0,1,0,-0.302,-1.141,0.106,-0.396,0,0,0,0,0,0,62807,0.0444282284193548,0.328566427290323,3.75909192526667,1.16415013035484,0.441666666666667,0.565333333333333,0.451666666666667,0.457333333333333,0.153030564555556,0.925959931454545,6.63369163282353,2.57776100292857,0.709677419354839,0.645161290322581,0.433333333333333,0.548387096774194,0,0,2,20,34.5050348886422,35.5721129183338,32.9600407973239,36.4528770160847,0.43,0.4,0.51,0.47,0.5,0.54,0.6,0.59,0.53,0.64,0.96,1.14,0.43,0.43,0,0,0.5,0.5,0,0,0.53,0.53,0,0,0.45,0.44,0.53,0.5,9,56178,11483,44095,Daarood
6,19,27,7,12,5,5,3,10,0,0,0,0,4,0,-0.43,-0.741,1.064,-0.737,0,0,0,0,0,0,352929,0,0.000386454677419355,3.12438097693333,1.73495287174194,0.320333333333333,0.548,0.446333333333333,0.314,0,0.0059900475,7.21010994676923,4.13719530953846,1,0.935483870967742,0.566666666666667,0.580645161290323,3,5,11,27,36.9934412425248,35.8556568936018,33.4027760910007,35.5319125120428,0.83,0.9,0.74,0.41,0.85,0.59,0.63,0.94,1,0.84,0.84,1.06,0.6,0.83,1,0,0.6,0.85,1,0,0.6,1,1,0,0.84,0.82,0.71,0.54,5,315679,36576,258433,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-0.953,-0.858,-0.661,0,0,0,0,0,0,108317,0.161118362967742,0.0580544101290323,0.0146531906666667,0.259856211290323,0.132666666666667,0.142333333333333,0.148,0.152333333333333,0.9989338504,0.22496083925,0.146531906666667,0.6712952125,0.838709677419355,0.741935483870968,0.9,0.612903225806452,0,0,0,0,36.0067465380062,36.500364998065,40.3310085742845,44.318207495074,0.61,0.49,0.68,0.95,0.62,0.7,0.94,1.19,0.52,0.52,0.52,0.48,0.6,0.61,1,0,0.6,0.62,1,0,0.52,0.52,0,0,0.62,0.55,0.74,1.01,1,96885,4243,92642,Dir
8,10,21,9,20,1,1,0,0,0,0,0,0,0,0,-0.331,-1.372,0.392,-0.438,0,0,0,0,0,0,237308,0,0.0203648386774194,2.8737091405,1.42262559354839,0.317666666666667,0.377,0.284333333333333,0.236333333333333,0,0.0901871427142857,6.15794815821429,22.0506967,1,0.774193548387097,0.533333333333333,0.935483870967742,0,0,6,21,35.4478398700405,35.1929227607436,36.3257431036177,36.5312843454506,0.83,0.82,0.69,0.34,0.86,0.81,0.95,0.82,0.39,0.39,0.4,0.4,0.6,0.83,1,0,0.6,0.86,1,0,0.39,0.39,0,0,0.83,0.82,0.75,0.46,12,212261,25295,164746,Hawiye
9,54,37,29,14,8,8,13,15,3,0,0,0,1,0,-0.288,-1.131,-0.073,-0.382,0,0,0,0,0,0,1844955,0,0.0210316058064516,2.10786257333333,0.898412451612903,0.3035,0.379,0.268833333333333,0.235166666666667,0,0.32598989,12.64717544,27.850786,1,0.935483870967742,0.833333333333333,0.967741935483871,10,6,26,37,36.9304008857423,36.3450242665941,37.8640842516954,38.8507724495949,0.775,0.77,0.645,0.34,0.795,0.645,0.72,0.675,0.37,0.365,0.375,0.4,0.6,0.775,1,0,0.6,0.795,1,0,0.37,0.37,0,0,0.78,0.74,0.665,0.425,3,1650228,1280939,0,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203,-0.704,-0.802,0.123,0,0,0,0,0,0,17308,0,0.174606113612903,0.168354495666667,0.708076988387097,0.133333333333333,0.151666666666667,0.149,0.132333333333333,0,1.0825579044,1.010126974,1.82919888666667,1,0.838709677419355,0.833333333333333,0.612903225806452,0,0,0,0,34.3821415031156,35.2760137051442,37.8916765243631,41.5603474502905,0.22,0.21,0.26,0.5,0.62,0.65,0.62,0.62,0.54,0.59,0.6,0.57,0.22,0.22,0,0,0.6,0.62,1,0,0.54,0.54,0,0,0.32,0.32,0.35,0.53,4,15481,4360,11121,Daarood
