id,tot_con_occ,tot_con_fat,batt_occ,batt_fat,civi_occ,civi_fat,expl_occ,expl_fat,prot_occ,prot_fat,riot_occ,riot_fat,stra_occ,stra_fat,spi0,spi1,spi2,spi3,dry,mod_dry,ext_dry,wet,mod_wet,ext_wet,pop,chirps0,chirps1,chirps2,chirps3,ndvi0,ndvi1,ndvi2,ndvi3,avgrain0,avgrain1,avgrain2,avgrain3,norain0,norain1,norain2,norain3,alsha_fat,alsha_occ,fatcon_occ,fatcon_fat,temp0,temp1,temp2,temp3,pdi0,pdi1,pdi2,pdi3,tdi0,tdi1,tdi2,tdi3,vdi0,vdi1,vdi2,vdi3,cdi0,cdi1,cdi2,cdi3,clans
1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.662,0.612,2.428,-0.71,0,0,0,0,0,0,44730,0.00811882366666667,0.500840090129032,1.61096250290323,0.253163757666667,0.196333333,0.258,0.209,0.234,0.121782355,1.725115866,4.993983759,0.632909394166667,0.933333333333333,0.709677419354839,0.67741935483871,0.6,0,2,0,0,38.80744683,35.31161236,35.4947893485496,34.2079531393568,2.25,3.76,3.25,1.89,0.98,0.79,0.56,0.84,1.19,1,1.06,1.45,1.94,3.02,2.58,1.63,Hawiye
2,36,38,28,36,3,1,5,1,0,0,0,0,0,0,-0.598,0.357,2.454,-1.123,0,0,0,0,0,0,282548,0.2195114366,0.485028403548387,1.83554871483871,0.448665043933333,0.342,0.508,0.303666666666667,0.352333333333333,0.731704788666667,2.505980085,4.06442929714286,0.961425094142857,0.7,0.806451612903226,0.548387096774194,0.533333333333333,1,26,7,38,37.2086796,32.30992581,34.0329359126201,34.5473545908184,2.35,3.14,3.15,2.2,1.1,0.88,0.59,0.66,1.49,1.14,0.93,1.2,2.04,2.57,2.51,1.81,Hawiye
3,12,35,6,11,0,0,5,24,0,0,0,0,1,0,-0.446,-0.637,2.12,-0.069,0,0,0,0,0,0,204208,0.552470373233333,0.428086802258065,1.58247639880645,1.11085695286667,0.332,0.268,0.452,0.427666666666667,1.50673738154545,1.47452120777778,2.044032015125,1.58693850409524,0.633333333333333,0.709677419354839,0.225806451612903,0.3,24,7,4,35,38.70996425,34.9854025,33.1286617569342,34.4815109644414,2.27,2.77,2.57,2.1,0.57,0.58,0.57,0.56,1.34,1.32,1.47,1.48,1.85,2.22,2.07,1.71,Daarood
4,4,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.446,0.029,1.834,-0.489,0,0,0,0,0,0,210008,0.328197942366667,0.237583503096774,0.690712317580645,0.275962675933333,0.285666667,0.232333333,0.305666666666667,0.322666666666667,1.09399314122222,0.669553508727273,1.019622945,0.636836944461538,0.7,0.645161290322581,0.32258064516129,0.566666666666667,0,1,0,0,38.39891571,34.75164056,34.0506092885631,35.6414230408517,1.24,2.01,2.07,1.76,1.04,0.83,0.57,0.81,1.35,1.34,1.43,1.46,1.19,1.72,1.69,1.52,Daarood
5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,-0.47,-0.188,2.647,-0.478,0,0,0,0,0,0,66510,0.743885294733333,0.839672385677419,2.62730894345161,1.36784498176667,0.490333333,0.577666667,0.627333333333333,0.706,1.85971323683333,2.00229568892308,3.39360738529167,2.15975523436842,0.6,0.580645161290323,0.225806451612903,0.366666666666667,0,7,0,0,33.38780503,29.05853002,28.9807503823554,27.4295809319679,2.98,3.15,2.63,2,1.1,1.13,1.13,1.31,1.62,1.7,1.76,1.8,2.51,2.65,2.26,1.83,Daarood
6,6,10,2,1,0,0,4,9,0,0,0,0,0,0,-0.561,0.752,1.294,-0.382,0,0,0,0,0,0,373739,0.313326933933333,0.589363716096774,0.972364025870968,0.390197405033333,0.290666667,0.357,0.350666666666667,0.442333333333333,1.17497600225,1.660934109,1.67462693344444,0.7316201344375,0.733333333333333,0.645161290322581,0.419354838709677,0.466666666666667,7,3,3,10,36.57073564,33.18604707,32.4742831471716,31.5723394603976,2.13,2.97,2.4,1.99,1.07,0.83,0.56,0.59,1.59,1.56,1.54,1.62,1.87,2.43,1.94,1.64,Reewin
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0.517,0.85,0.053,0,0,0,0,0,0,114704,1.32534459203333,1.18380303548387,0.910936984354839,0.289710996133333,0.208333333,0.186,0.127666666666667,0.158,1.65668074004167,2.03877189444444,2.01707475107143,0.54320811775,0.2,0.419354838709677,0.548387096774194,0.466666666666667,0,0,0,0,47.06305285,43.68364336,42.8696047400612,44.6467531536699,3.1,3.41,4.04,3.87,0.47,0.52,0.58,0.87,2.29,2.22,2.17,2.32,2.44,2.69,3.17,3.12,Dir
8,4,6,1,0,1,6,2,0,0,0,0,0,0,0,-0.639,0.771,2.56,-1.163,0,0,0,0,0,0,251300,0.146480466966667,0.636874782580645,1.97293977254839,0.454452780466667,0.406666667,0.489333333,0.339,0.379666666666667,0.549301751125,2.82044546571429,4.3686523535,1.13613195116667,0.733333333333333,0.774193548387097,0.548387096774194,0.6,0,3,1,6,34.42741681,30.55633512,30.4506196777905,31.7075368956743,2.56,3.78,3.76,2.4,1.38,1.2,1.14,1.14,1.82,1.66,1.52,1.55,2.26,3.13,3.1,2.08,Hawiye
9,40,32,14,6,8,10,15,12,1,0,1,0,1,4,-0.468,1.003,2.98,-0.858,0,0,0,0,0,0,1953738,0.400271413333333,1.19689564193548,3.42808978612903,0.823784290233333,0.3743333335,0.4986666665,0.321333333333333,0.366,4.00271413333333,6.18396081666667,11.8078648188889,2.05946072558333,0.9,0.806451612903226,0.709677419354839,0.6,24,20,18,32,35.818048205,31.433130465,32.2417777952053,33.1274457432463,2.455,3.46,3.455,2.3,1.24,1.04,0.865,0.9,1.655,1.4,1.225,1.375,2.15,2.85,2.805,1.945,Hawiye
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.439,0.373,-0.229,0.24,0,0,0,0,0,0,18328,0.1579279491,0.0597266143548387,0.000107700870967742,0.0345929697,0.146,0.140333333,0.140666666666667,0.170333333333333,0.3158558982,0.3085875075,0.0016693635,0.129723636375,0.5,0.806451612903226,0.935483870967742,0.733333333333333,0,0,0,0,41.58650848,38.83623805,39.4403962950038,40.7547411695791,1.89,1.84,1.25,1.13,0.54,0.47,0.5,0.8,2.13,2.17,2.24,2.43,1.55,1.5,1.06,1.05,Daarood
11,4,0,3,0,0,0,1,0,0,0,0,0,0,0,-0.018,0.247,2.82,0.496,0,0,0,0,0,0,87695,0.610772303833333,0.864824235806452,2.63744634612903,2.34529051173333,0.411333333,0.553,0.558333333333333,0.565666666666667,2.61759558785714,2.97883903444444,4.80946098411765,4.3974197095,0.766666666666667,0.709677419354839,0.451612903225806,0.466666666666667,0,4,0,0,34.76286622,29.83849203,29.0349240452767,30.5165715372907,2.82,4.11,4.46,3.31,1.37,1.18,1.11,1.12,1.9,1.86,1.8,1.81,2.46,3.38,3.63,2.76,Hawiye
12,10,6,4,3,3,3,3,0,0,0,0,0,0,0,-0.613,-0.188,4.887,-0.393,0,0,0,0,0,0,278475,0.0588552202666667,0.121564856580645,0.638314876580645,0.066663534,0.227333333,0.218,0.222333333333333,0.288666666666667,0.3531313216,0.3768510554,1.09932006522222,0.2499882525,0.833333333333333,0.67741935483871,0.419354838709677,0.733333333333333,4,9,5,6,39.91838971,37.77709083,38.7896724495948,36.2733585025236,1.77,3.74,3.8,3.31,1.1,0.88,0.61,0.95,1.97,1.95,1.99,2.14,1.6,3.03,3,2.72,Hawiye
13,6,7,6,7,0,0,0,0,0,0,0,0,0,0,-0.489,0.571,1.553,0.662,0,0,0,0,0,0,98403,0.0362225906333333,0.163477378064516,0.228762582419355,0.106844278433333,0.254,0.271666667,0.287,0.275333333333333,0.2173355438,1.013559744,0.886455006875,0.356147594777778,0.833333333333333,0.838709677419355,0.741935483870968,0.7,0,1,2,7,40.39841662,37.86401517,34.8086212278876,36.4087380330723,1.88,2.68,2.31,2.37,1.17,1.01,0.83,0.6,2.19,2.15,2.26,2.28,1.7,2.26,1.94,1.93,Daarood
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.375,-0.364,1.523,0.553,0,0,0,0,0,0,208379,0.609229497333333,0.169129814967742,0.244423302419355,0.139727065933333,0.128333333,0.125,0.113333333333333,0.122333333333333,1.07511087764706,0.5243024264,0.420951243055556,0.279454131866667,0.433333333333333,0.67741935483871,0.419354838709677,0.5,0,0,0,0,48.83695722,45.16348346,42.9123854328938,44.514524646346,2.91,3.34,2.76,2.6,0.42,0.49,0.57,0.87,2.48,2.39,2.47,2.6,2.29,2.63,2.21,2.17,Dir
15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.479,1.137,0.488,-0.37,0,0,0,1,0,0,471921,3.204678384,3.41663585354839,2.3587092816129,0.615155425833333,0.335333333,0.260333333,0.175,0.25,3.69770582769231,4.81435052090909,5.22285626642857,1.23031085166667,0.133333333333333,0.290322580645161,0.548387096774194,0.5,0,0,0,0,37.95878727,35.58052823,37.3718212514509,37.3023622454363,3.2,3.31,4.62,4.45,0.48,0.45,0.69,0.93,1.76,1.75,1.85,2.34,2.52,2.6,3.64,3.57,Dir
16,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0.653,0.287,-0.64,2.747,0,0,0,0,0,0,555929,0.833129808133333,0.309986986903226,0.00976656419354839,0.442277191833333,0.161666667,0.153333333,0.156,0.186666666666667,1.136086102,0.9609596594,0.0275239536363636,0.884554383666667,0.266666666666667,0.67741935483871,0.645161290322581,0.5,0,0,1,1,42.77957591,38.76909601,37.625325803649,38.3974810587262,2.4,2.85,2.18,2.02,0.5,0.49,0.51,0.82,2.37,2.35,2.53,2.55,1.92,2.26,1.76,1.72,Daarood
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.386,-0.564,0.631,1.355,0,0,0,0,0,0,129031,0.7053371156,0.414631661290323,1.19743678887097,2.369092331,0.366666667,0.333,0.569333333333333,0.498666666666667,2.6450141835,2.5707163,2.3200337784375,3.5536384965,0.733333333333333,0.838709677419355,0.483870967741935,0.333333333333333,0,0,0,0,35.71081802,33.17281657,31.8887402475115,31.8168344290788,1.39,2.14,2.22,1.8,0.53,0.51,0.51,0.53,0.91,1.14,1.23,1.26,1.18,1.73,1.79,1.48,Hawiye
18,5,4,2,2,1,2,2,0,0,0,0,0,0,0,-0.604,0.228,2.638,-0.73,0,0,0,0,0,0,163716,0.0689428795333333,0.233286026193548,0.932993291064516,0.0906706892,0.252,0.293333333,0.258333333333333,0.287333333333333,0.4136572772,0.803540756888889,1.70134070723529,0.247283697818182,0.833333333333333,0.709677419354839,0.451612903225806,0.633333333333333,2,4,2,4,37.68257657,34.22450487,35.821406636949,35.0716236056585,1.7,3.33,3.21,2.16,1.16,0.94,0.63,0.96,1.97,1.63,1.65,1.81,1.56,2.73,2.57,1.86,Hawiye
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442,-0.383,0.198,0.085,0,0,0,0,0,0,545022,1.67099138113333,0.300827792741935,0.16593201783871,0.3212701719,0.22,0.166333333,0.182,0.242333333333333,2.63840744389474,0.777138464583333,0.302581914882353,0.507268692473684,0.366666666666667,0.612903225806452,0.451612903225806,0.366666666666667,0,0,0,0,38.69562224,37.22371326,36.2505765814993,38.1456413278504,3.96,3.9,3.51,3.17,0.81,0.56,0.78,1.01,2.69,2.47,2.62,2.92,3.17,3.06,2.82,2.63,Dir
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.704,-0.479,-0.216,1.01,0,0,0,0,0,0,76911,0.140174358366667,0.0015837365483871,3.46439032258065e-05,0.0441101613,0.169333333,0.172333333,0.166,0.210666666666667,0.467247861222222,0.01227395825,0.001073961,0.2205508065,0.7,0.870967741935484,0.967741935483871,0.8,0,0,0,0,37.97754522,35.23434344,37.4419145125178,36.329861199151,1.88,2.39,2.17,2.04,0.96,0.7,0.49,0.56,1.72,1.75,1.83,2.11,1.65,1.97,1.75,1.67,Daarood
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-0.721,1.117,0.034,0,0,0,0,0,0,99150,1.37405612716667,0.00104403709677419,0.0595151596129032,0.0556403592666667,0.191,0.175,0.171666666666667,0.205333333333333,4.58018709055556,0.0107883833333333,0.204996660888889,0.1669210778,0.7,0.903225806451613,0.709677419354839,0.666666666666667,0,0,0,0,38.34552875,37.11040202,35.40203937367,39.6689800915882,3.02,2.92,2.27,2.18,0.7,0.48,0.48,0.53,1.57,1.28,1.32,1.71,2.44,2.31,1.82,1.77,Daarood
22,4,15,3,15,0,0,1,0,0,0,0,0,0,0,-0.47,0.959,2.205,-0.654,0,0,0,0,0,0,233467,0.526823852233333,0.630332822548387,1.44630825935484,0.620317723933333,0.333666667,0.384333333,0.355666666666667,0.426666666666667,2.25781650957143,1.39573696421429,2.13502647809524,1.24063544786667,0.766666666666667,0.548387096774194,0.32258064516129,0.5,0,0,2,15,37.4723871,32.82733004,32.4175003903201,31.9491158624999,2.13,2.79,2.39,1.7,1.04,0.87,0.6,0.89,1.41,1.11,1.11,1.47,1.86,2.31,1.94,1.5,Reewin
23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.584,-0.098,4.699,0.621,0,0,0,0,0,0,120711,0.1077280143,0.0728104441935484,0.284101236483871,0.0472518746,0.208333333,0.222666667,0.193333333333333,0.269666666666667,0.5386400715,0.376187295,0.677472179307692,0.17719452975,0.8,0.806451612903226,0.580645161290323,0.733333333333333,0,0,0,0,41.12384572,38.26865304,38.0769017230377,37.943801531589,1.9,3.8,3.81,3.71,1.06,0.88,0.85,1.16,1.98,1.92,1.95,2.13,1.69,3.07,3.07,3.08,Hawiye
